document,0,1,2,3
168,0.07717673,0.14935307,0.5501808,0.22328945
169,,0.3080642,0.5657977,0.123376526
170,0.94393754,,,0.052662555
171,,0.3399151,0.6545978,
172,,0.12079385,0.7452388,0.13045993
173,0.41676077,,0.110921115,0.46935764
174,,0.48553243,,0.51394945
175,,0.19072816,0.6185445,0.18723916
176,,0.16252963,,0.8367759
177,0.05441333,0.42278633,0.29400897,0.22879136
178,0.16950232,,0.1269394,0.69984955
179,0.053495828,,,0.94372284
180,0.99914527,,,
181,0.9951311,,,
182,0.90340954,,,0.09325322
183,0.72497386,0.22189859,0.051192086,
184,0.9980175,,,
185,0.16243167,0.26131353,0.48194546,0.09430932
186,,0.43955237,0.42617577,0.13173269
187,0.4577374,0.10793596,0.09368508,0.34064156
188,,0.35468736,0.63788056,
189,0.8468725,0.050118566,0.045082908,0.057926
190,0.37010974,,0.2668339,0.3597888
191,0.8778483,,0.042611107,0.07803823
192,,0.45821616,0.37776884,0.16072236
193,0.15848008,0.58221626,0.25761762,
194,0.8201874,,,0.17621611
195,0.56726223,0.07173583,0.080854945,0.280147
196,0.26365358,,0.1590851,0.5739738
197,0.2146186,0.096370876,0.5484646,0.14054592
198,0.045156844,0.28574133,0.20295924,0.4661426
199,0.77982116,,0.10918262,0.10870703
200,0.06768745,0.16893286,0.5810612,0.18231846
201,0.1447536,0.15218033,0.30025703,0.40280905
202,0.17941393,0.33475938,0.4832825,
203,,0.39008135,0.52602345,0.08098707
204,,,0.7022096,0.2918414
205,,,0.652137,0.3414963
206,0.09814063,0.28470883,0.4175841,0.19956645
207,0.6496615,,0.09637159,0.25116634
208,,,,0.99771404
209,0.9088171,,,0.08596417
210,0.21867245,,0.24391215,0.534383
211,0.058185786,0.17375883,0.53836745,0.22968793
212,0.9984081,,,
213,0.031238453,0.075727895,0.62017876,0.2728549
214,0.51862365,0.13955729,0.3401451,
215,0.99504876,,,
216,0.97657937,,,0.021505775
217,0.1408474,0.12409674,0.62393385,0.11112201
218,0.6475923,0.31267393,,0.037891597
219,,,0.6978109,0.29641512
220,,0.3096433,0.4454811,0.2429904
221,0.73744845,,,0.25625625
222,0.42529127,0.42488542,0.14837588,
223,0.13349546,,0.39466685,0.46944523
224,,0.13546097,0.5162703,0.34550166
225,0.33158684,,0.6629424,
226,0.12468664,0.118956186,0.50568163,0.25067553
227,0.99854314,,,
228,0.2256604,0.47727388,0.19343188,0.103633836
229,0.12228317,,0.7265501,0.14861348
230,,0.09176868,0.90479696,
231,0.044800404,0.26013932,0.44546545,0.24959484
232,0.11441033,0.11286357,0.41371217,0.35901394
233,0.06718015,,0.82962734,0.10156667
234,0.93152785,,,0.06552045
235,0.6858328,,,0.30772072
236,0.06716062,0.22460464,0.45422357,0.25401118
237,,0.4671326,0.46720925,0.065615244
238,,0.28017592,0.7179553,
239,0.026757814,0.3352656,0.6379382,
240,,0.28320634,0.71673626,
241,0.1529067,,0.5430797,0.30394706
242,0.14329264,0.12653033,0.5027403,0.22743668
243,0.014386294,,0.43178454,0.549398
244,0.04803913,0.030811055,0.31081557,0.6103343
245,0.16529568,0.033033032,0.51428235,0.28738895
246,0.20829035,0.023835607,0.40400895,0.36386505
247,0.42032337,0.024165377,0.2527612,0.30275008
248,0.072261184,0.083110146,0.48795882,0.35666984
249,0.99990475,,,
250,0.71967953,0.029430594,0.2054772,0.04541272
251,0.32258087,0.042305477,0.3034106,0.33170307
252,0.29378626,0.07456939,0.20914094,0.4225034
253,0.051784612,0.01572449,0.5160943,0.41639653
254,0.2565898,0.17432956,0.38693696,0.18214364
255,0.20572944,,0.23610781,0.55802065
256,0.021145873,,0.6351636,0.34348962
257,0.010861672,0.037194423,0.37493357,0.57701033
258,0.44058755,,0.21466002,0.34466794
259,0.06979966,0.064398326,0.41227186,0.45353016
260,0.038494736,0.041248433,0.41123483,0.50902206
261,0.063838504,,0.38546535,0.55048114
262,0.055951376,0.11711242,0.37568536,0.45125082
263,,0.69884425,,0.30110416
264,0.072126254,,0.45031354,0.4774354
265,,0.19458318,0.6379349,0.16743535
266,0.39460567,,0.33033204,0.27500764
267,0.25296175,0.054547362,0.33740485,0.35508606
268,,0.13019031,0.35833487,0.5111903
269,0.91845506,0.08149188,,
270,0.039438423,0.09780849,0.3781097,0.48464337
271,,,0.41924,0.57260585
272,0.07082187,,0.38823345,0.5408284
273,0.6136701,0.04178029,0.12757078,0.21697883
274,0.87162447,0.08722568,0.041131504,
275,0.13979407,,0.3413105,0.5171937
276,0.053444352,0.024829192,0.43699136,0.4847351
277,0.11823945,0.102745175,0.44001013,0.33900523
278,0.015746921,0.07492869,0.49785575,0.4114686
279,0.16483927,0.07967139,0.31176463,0.44372472
280,0.052203014,0.02078482,0.44532856,0.4816836
281,0.27779537,0.016555,0.30449766,0.401152
282,0.09909377,0.040614605,0.49771306,0.36257854
283,,0.029126972,0.47237772,0.4982728
284,0.02664112,0.04082308,0.34150442,0.5910313
285,,0.08268191,0.45113796,0.457071
286,0.0292069,,0.6067571,0.3639573
287,0.04075809,,0.277767,0.6813079
288,0.03291537,0.011876265,0.5773332,0.37787512
289,0.060342375,0.015562592,0.4512592,0.47283587
290,0.12567878,0.020945393,0.5534172,0.29995862
291,,0.13308166,0.5318999,0.33485729
292,0.12319879,,0.3850909,0.4916041
293,0.06716874,0.036439758,0.34481904,0.5515725
294,0.05983927,0.05252714,0.42588183,0.4617518
295,0.64712787,0.15482214,0.13617747,0.061872523
296,0.5487687,0.26159245,0.16604806,0.023590773
297,0.02913516,,0.45017645,0.5126377
298,0.10421485,0.02512161,0.6411778,0.22948575
299,0.13906401,0.31921235,0.5409814,
300,0.0370203,0.10819093,0.52931446,0.32547432
301,,0.05461375,0.42097884,0.52421343
302,0.11500609,0.08384871,0.62238586,0.1787593
303,,0.30851915,0.6912254,
304,0.072321706,0.74488926,0.18275319,
305,0.074994974,0.44383147,0.48115116,
306,0.038746823,0.15799233,0.5145943,0.28866655
307,0.16026755,,0.34641328,0.4931739
308,,0.37174183,0.5540538,0.07406885
309,0.16459718,,0.33503515,0.5001606
310,0.103681095,0.51910293,0.37702987,
311,0.01450762,,0.5496801,0.43572456
312,0.11519021,0.12858471,0.46799204,0.28823304
313,0.14747092,,0.39108267,0.46062413
314,0.045046955,0.19219866,0.4248492,0.3379052
315,0.11902735,0.23099594,0.33710405,0.31287265
316,,,0.5496639,0.4494893
317,,0.1948322,0.43487456,0.3686046
318,0.10263937,,0.34427798,0.5528652
319,0.31418362,0.2032692,0.29850996,0.18403721
320,0.043980084,0.0868172,0.428744,0.44045874
321,,0.13794777,0.41133162,0.45050353
322,0.39920166,0.49641877,0.043510765,0.06086879
323,0.2437604,0.2828087,0.27995962,0.19347127
324,0.08556612,0.105544925,0.48623198,0.32265696
325,0.360583,,0.5217346,0.11762418
326,0.16689532,0.20378903,0.33306658,0.29624912
327,0.11526751,0.16724813,0.2765812,0.44090313
328,0.2577586,,0.30189922,0.44019789
329,0.028332083,0.40437353,0.5672744,
330,0.26128575,0.11485558,0.32423294,0.2996257
331,0.34369102,0.48300797,0.17326753,
332,0.061258603,,0.42834762,0.5069782
333,0.033839785,,0.38745993,0.57845384
334,0.21311119,,0.36324814,0.42345974
335,0.62178534,0.011593904,0.1878217,0.17879906
336,0.033827867,,0.32144144,0.640631
337,,0.3881008,0.61173695,
338,,0.16471012,0.39817917,0.4369261
339,0.048648853,,0.37762025,0.57353914
340,0.47331896,0.24567002,0.14097446,0.14003658
341,0.07145189,0.08803247,0.34098405,0.4995316
342,,0.12659244,0.3572337,0.5103933
343,0.05663865,,0.50255305,0.4406024
344,0.06983355,0.057132374,0.48548523,0.38754883
345,0.67739207,0.26070413,0.061893575,
346,0.06625029,,0.38850546,0.54510605
347,,0.08981187,0.36532307,0.5445395
348,0.050203614,0.13290086,0.36670178,0.4501938
349,0.037192445,0.1727466,0.55304587,0.23701507
350,0.18808821,0.1457759,0.3741426,0.29199332
351,0.9999888,,,
352,0.023985932,0.13241932,0.49316868,0.3504261
353,0.059478477,,0.62101704,0.31829727
354,0.15478432,0.15036722,0.32122782,0.37362063
355,0.47123763,0.26427108,0.049614873,0.2148764
356,0.7025621,0.24324639,0.03402354,0.020167943
357,0.18260679,0.055987827,0.31185174,0.4495536
358,0.039955173,0.052041367,0.34239712,0.5656063
359,0.048348475,0.08700969,0.4650721,0.39956978
360,0.6024448,0.011134007,0.16283052,0.22359064
361,0.047506124,0.05160898,0.7125229,0.18836199
362,0.021063592,0.12449506,0.32794902,0.52649236
363,,0.51864,0.481273,
364,0.25337636,,0.22921732,0.5172225
365,0.37659395,0.12594233,0.32487005,0.17259367
366,0.11818015,0.060854234,0.4858411,0.3351245
367,0.053026743,0.019814812,0.54746956,0.37968892
368,0.8170192,0.14753935,0.029028567,
369,,0.20645937,0.37503085,0.41836262
370,0.04054873,0.077644184,0.31223112,0.56957597
371,0.014465043,0.07066592,0.42695048,0.48791853
372,0.40070292,0.060671538,0.25602356,0.28260192
373,0.01192906,0.10996328,0.4750924,0.40301526
374,0.09364293,0.31436563,0.5453367,0.04665473
375,0.06892272,,0.44579607,0.48506168
376,0.031924974,,0.46502954,0.5028192
377,0.058021616,,0.4815143,0.45984036
378,0.07216313,0.25408906,0.49539784,0.17834993
379,0.041597597,,0.76436365,0.19397303
380,0.76051766,0.026018223,0.08684535,0.12661876
381,0.16446148,,0.46092963,0.37446785
382,0.028305653,0.05047828,0.2697233,0.6514928
383,0.06517077,,0.56284547,0.37180534
384,0.116211385,0.2853287,0.5984316,
385,0.03731671,0.057788994,0.43903607,0.46585822
386,0.52987736,,0.16820374,0.3017078
387,0.0199829,0.3672094,0.57094365,0.041864045
388,0.11543013,0.11120636,0.3605901,0.41277343
389,0.0628228,0.18985252,0.4716165,0.27570817
390,0.04918931,,0.4903705,0.46016228
391,0.023234786,0.20993939,0.66762245,0.09920336
392,0.025400644,0.03167996,0.50190276,0.44101664
393,0.055574544,0.09138098,0.35214895,0.50089556
394,0.45210785,0.3082489,0.20742795,0.032215293
395,0.10104278,0.11961788,0.49249426,0.28684506
396,,0.020327516,0.47488543,0.50459754
397,0.09259788,,0.5739851,0.33333844
398,0.046693508,,0.37338257,0.579678
399,0.06876817,,0.51476663,0.41629186
400,0.73719823,,0.057864863,0.2047564
401,,0.12229071,0.36521137,0.5122381
402,0.26926166,0.11803691,0.22109807,0.39160338
403,0.060607724,0.045461264,0.4759489,0.41798213
404,0.09836031,0.079113565,0.3197636,0.5027625
405,0.05883223,,0.35779506,0.5831307
406,0.031085206,0.059451252,0.429681,0.47978255
407,0.14822808,0.079518095,0.37236315,0.3998907
408,0.05489035,0.062231656,0.3542427,0.52863526
409,0.13697518,,0.30156216,0.55416805
410,,,0.6453104,0.34756798
411,,0.05377751,0.33706954,0.60288167
412,0.25275105,,0.37989166,0.36730525
413,0.011471451,0.08554762,0.41481316,0.48816776
414,0.050489604,,0.30909684,0.64010924
415,0.25312465,,0.2513748,0.48907307
416,0.05297525,0.108571775,0.41282985,0.4256231
417,0.11780547,0.4900319,0.39214233,
418,0.1185958,0.15314172,0.35872757,0.36953488
419,,0.3463066,0.6536277,
420,0.11224626,0.17323476,0.413966,0.30055296
421,0.08228427,,0.33132043,0.58633286
422,0.65170616,0.2806145,0.029390836,0.038288463
423,0.05522398,0.09058439,0.3942664,0.45992526
424,0.08342593,0.02615616,0.38312608,0.50729185
425,0.02475987,0.23379114,0.36322105,0.37822792
426,0.20335318,0.15225898,0.2670627,0.37732518
427,0.20626946,0.04810082,0.2855844,0.46004534
428,0.09866467,,0.5096889,0.39140296
429,0.016736379,0.08713015,0.38921285,0.50692064
430,0.07998786,0.11205962,0.37110645,0.43684608
431,0.015994119,0.16099237,0.43513587,0.38787764
432,0.05938984,0.098445885,0.33779395,0.50437033
433,0.19467965,0.061565317,0.5087927,0.2349624
434,0.9788552,0.0210663,,
435,0.025813837,0.2872331,0.46931487,0.2176382
436,0.24696699,0.11205125,0.4355725,0.2054093
437,,0.03939229,0.4769474,0.47670475
438,0.10239206,0.16637947,0.63634074,0.09488777
439,0.89982915,,0.03464887,0.065466955
440,,0.06528585,0.42080244,0.51364166
441,0.13887551,0.028818544,0.3967258,0.4355801
442,0.56938404,0.24006256,0.027182668,0.16337074
443,0.07340203,0.06695384,0.51766753,0.3419766
444,0.051004052,,0.60424525,0.34465382
445,0.33423552,,0.24547553,0.42016447
446,0.71851414,0.2590594,,0.022347892
447,0.05962241,,0.4320723,0.50810885
448,0.49507597,,0.20976874,0.29501295
449,0.077657446,,0.35759184,0.56452584
450,0.0328384,0.09383288,0.44374144,0.42958724
451,0.5427142,0.39873958,0.024240473,0.034305762
452,0.02706574,0.13310581,0.30084795,0.53898054
453,0.08161828,,0.37103382,0.5375434
454,,0.06738506,0.36320823,0.56917554
455,,0.050724022,0.48378566,0.46514142
456,0.04023379,0.067193,0.30482626,0.587747
457,,0.23145616,0.7254478,0.043059014
458,0.014706481,0.09383084,0.31080782,0.58065486
459,0.6575567,0.16733816,0.116644554,0.05846056
460,0.03518098,0.485392,0.4793672,
461,0.17290252,,0.36945757,0.4574356
462,0.011658265,0.3992417,0.5890573,
463,0.6363652,0.19128339,0.077682965,0.09466843
464,0.27631474,,0.5251051,0.19838849
465,,0.23900697,0.7609092,
466,0.38497818,0.05348162,0.1472566,0.4142836
467,,0.13690613,0.67709756,0.18579955
468,0.08850771,0.44627085,0.4651837,
469,0.2827898,,0.31207672,0.40405592
470,0.5482633,0.31020275,0.014666263,0.12686765
471,,0.32372174,0.6761724,
472,0.042654727,0.28003904,0.6739506,
473,0.033738833,0.38026896,0.49441653,0.09157569
474,0.15049303,0.30791003,0.3610479,0.18054906
475,0.8094194,0.18428895,,
476,,0.4800641,0.48866153,0.031223183
477,,0.2158708,0.7840404,
478,,,,0.9999875
479,0.6210796,0.14536975,0.11617302,0.11737766
480,,0.20507494,0.7842441,0.010627713
481,,0.15909007,0.78593713,0.05492343
482,,0.45914817,0.448349,0.0924484
483,0.0123198945,0.31371424,0.59370506,0.08026085
484,0.53124714,0.01779223,0.13230172,0.3186589
485,0.09079793,0.4668752,0.44229904,
486,,0.23239468,0.76692975,
487,,0.32735866,0.6038201,0.06872798
488,,0.25439093,0.74550086,
489,,,,0.9996494
490,0.11217557,0.57434523,0.31344035,
491,0.056132447,0.09136215,0.4585339,0.39397147
492,0.39240113,0.067338325,0.27613202,0.26412848
493,,0.41526508,0.5846375,
494,0.17256232,0.22843735,0.24999307,0.3490073
495,,,,0.9999637
496,,0.3504506,0.6494728,
497,,0.38073102,0.6065379,0.012672261
498,0.026894482,0.50373226,0.46935254,
499,0.027771259,0.11831558,,0.8538812
500,0.84121406,0.15610188,,
501,0.039648134,0.09674413,0.4308636,0.43274412
502,0.07682555,0.23084608,0.60094166,0.09138671
503,,0.17724128,0.8227229,
504,0.025244823,0.14543864,0.41246873,0.41684777
505,0.07594619,0.29179925,0.4152326,0.21702193
506,,0.27444404,0.72481817,
507,0.0142537635,0.22090201,0.76344794,
508,0.04153109,0.39458114,0.5638396,
509,,0.014099293,0.37920728,0.60656077
510,,0.21932718,0.739789,0.032882947
511,0.11645767,0.17430045,0.5642266,0.14501522
512,0.5376105,0.13888465,0.09832471,0.22518016
513,0.99996006,,,
514,0.64664114,0.27502254,0.078301534,
515,0.06209967,0.14716183,0.7742826,0.016455904
516,,0.14235644,0.40848222,0.4487928
517,,,0.48661032,0.5131497
518,0.0150636295,0.35416737,0.63070905,
519,0.5741425,0.28027663,0.12859093,0.01698992
520,0.9945593,,,
521,0.04582904,0.2045558,0.3664321,0.38318306
522,,0.06970785,0.32235307,0.5999612
523,0.20966837,0.25985444,0.2033767,0.32710055
524,,0.28575054,0.6487914,0.065299325
