document,0,1,2,3,4,5,6,7,8,9,10,11
0,,0.5709765,,0.40615794,,,,,,,0.019725265,
1,,,0.17552716,0.5885793,,0.075939186,,,,0.08931782,0.055394523,
2,,,,0.4305327,0.17856187,0.03348636,0.1370949,0.12637986,,0.07379867,,
3,,0.38069704,,0.6000942,,,0.015416507,,,,,
4,0.015913421,,0.074214704,0.1022471,0.16255532,,,,,,,0.6326305
5,,0.4973764,,0.43085906,,,,,0.04436237,,0.018140133,
6,,,0.12760566,0.41801816,,,,,,0.10436129,,0.32412732
7,,,0.032855827,0.26594168,,,0.4572915,,,,0.23381062,
8,0.016214143,,,0.36398554,0.49783555,0.0492656,0.05946553,,,,,
9,,,,0.12683304,,,0.48372748,,0.18990836,,0.19218294,
10,,,0.1330432,0.26313883,0.14658195,0.018990295,0.15687625,,,0.27056444,,
11,,,,0.19489685,,0.045679357,0.4569011,,0.14090821,,0.14010102,
12,,,,0.49078864,0.14756367,0.08322847,0.13309221,,,,0.13347115,
13,,,,0.2741266,,0.04327238,0.3940647,,,,0.27237496,
14,,,0.12809233,0.52922714,0.1126631,0.038120575,,,,0.09361047,0.087558344,
15,,,0.070879325,0.48266864,,0.021923648,0.088741675,,,0.059256,0.26418462,
16,,,,0.47306922,,0.17207609,,0.11506159,,,0.12442371,0.093719244
17,0.019168997,,,0.52175796,0.36503285,0.04667797,,,,,0.032840233,
18,,,0.119272985,0.3444267,0.14504929,0.046138532,0.2076779,,,,0.12113157,
19,,,0.11943638,0.4491077,,,,0.042235125,,,0.36839515,
20,,,,0.35370916,0.291793,0.09058542,,,,0.11570508,0.13526805,
21,0.012797938,,0.1451361,0.5413381,,0.078398086,0.14357193,0.06708476,,,,
22,,,,0.3861876,0.2521402,0.1282297,0.105098024,,,0.10857926,,
23,,,,0.18482475,0.18892246,0.20435207,0.07506116,,,0.17357573,0.15893717,
24,,,0.10678635,0.539886,0.13009278,0.11839869,0.08838626,,,,,
25,,,,0.4415738,0.16887586,0.040955912,0.14434005,,,0.18649076,,
26,,,0.12575816,0.56892335,,0.042592086,,0.06628626,0.1724568,,,
27,,0.19528964,,0.53145826,0.17090602,0.016431915,,,0.07061582,,,
28,,0.04467188,,0.2641744,,0.24267313,,,0.03833178,0.39371184,,
29,,,,0.649708,0.21041168,,0.029511727,,,,,0.096814394
30,,,,0.3793976,0.2817422,0.20161547,,,0.07337843,0.048777577,,
31,0.01922542,,0.11067217,0.43374935,0.19357571,,,,0.08069502,,0.14378196,
32,,,,0.4679658,0.17161405,0.085146986,,,,0.06107346,0.19623403,
33,0.018974546,,0.35100827,0.27630898,,0.017886229,0.077802554,0.042605195,,0.1341114,0.07002087,
34,,0.032063436,,0.12198421,,0.083754,0.26443925,,0.24331415,0.06226875,0.18457733,
35,,0.4253888,,0.5000396,,0.013290646,,,,0.045557093,0.012683739,
36,,,0.055607,0.40825546,,0.041946806,0.066816255,0.1018186,,0.2550583,0.057202272,
37,,,,0.44915184,0.13486359,0.064809345,,0.11090432,,,0.22217707,
38,,,,0.42460346,0.058609553,,,,0.1531002,0.16765404,0.1780668,
39,,,,0.38405064,,0.06814792,0.06673481,,,0.17106444,0.30013287,
40,,,0.045894362,0.42262632,0.065434486,,,,0.37430215,,0.0782575,
41,0.021723382,,0.29433006,0.6006137,,,0.05971643,,,,,
42,,,,0.35708758,0.30297258,0.11285612,0.07465803,,,,0.1389971,
43,,,0.14231816,0.45812637,0.06839831,0.041952454,0.26952723,,,,,
44,,,,0.21739428,0.08789877,0.054936882,,0.030386424,0.11744112,,0.48116717,
45,,0.25888464,,0.72462153,,,,,,,0.011406353,
46,,0.1646605,,0.6241282,,0.09563488,,,,,0.09465272,
47,,,,0.3323671,,0.027439296,0.17792702,0.03226956,,0.10335362,0.31702647,
48,,,0.16422357,0.4611267,0.23023699,0.042971957,,,,0.046012644,,0.045126937
49,,,,0.14848423,,0.04078738,0.25921223,,0.1997137,,0.3452895,
