document,0,1,2,3,4,5,6,7,8,9,10,11
0,,0.56745094,0.373574,,,,,,,,,0.036620714
1,,0.82355773,,,,0.15099294,,,,,,0.010615153
2,0.30869377,,0.5985259,,,,,,,,,0.069520265
3,,0.29670307,,,,,,0.36028296,,0.21984488,0.038284764,0.060257927
4,,,0.7645595,,,0.17754789,,,,,,0.028982839
5,0.4807892,,,,,0.11586738,,0.3716184,,,,
6,0.14448436,0.12330535,0.5143031,,,,,,,0.12432182,0.07123949,
7,,0.21900085,0.18229163,,0.5668806,,,,,,,
8,,,0.5935064,,,,,0.12861134,,0.21915203,,0.034006737
9,,0.16413948,0.80239516,,,,,,,,,
10,,,,,,,,,,,,0.99490154
11,,,0.48308477,,0.19621621,,,0.29265347,,,,
12,,0.106770776,,,,0.08935438,,0.77268255,,,,
13,0.19885239,,0.18740962,,,,,0.30522305,,0.23729646,,0.056387573
14,,,0.952323,,,,,,,,,0.01569436
15,0.60292274,,0.22264153,,,,,,,,0.033655133,0.1353982
16,,,0.68682337,,,,,0.24437448,,,,0.042435423
17,0.16860189,0.1656697,,,0.15834324,,,0.483899,,,,
18,,,0.56489784,,,,,0.26666835,,0.082911044,,0.06303371
19,0.41365752,,0.14254068,,,,,0.38517147,,,,0.030530179
20,,,0.28657538,,,,,0.63026613,,,,0.051779926
21,,0.77390033,,,,0.015700448,,0.1684531,,,,0.038050458
22,,0.1305745,,,,0.18896155,,0.39871514,,0.22838327,,0.032225404
23,,0.16414745,,,,,,0.42003772,,0.38754177,,
24,0.14229354,0.22809584,,,,,,0.18847023,,0.37579206,0.043797173,
25,0.18397017,,,,,,,0.502855,,0.25050005,,0.03962982
26,0.056919813,0.04800222,0.6551793,,,,,0.21308571,,,,
27,,,0.63683116,,,,,0.32745343,,,,
28,0.13815756,,0.24998355,,0.19089416,,,0.36989492,,,,0.031422846
29,,0.17502366,,,,0.43596563,,0.36020765,,,,
30,0.20899247,,0.40490514,0.035577826,,,,,,0.3314564,,
