document,0,1,2,3,4,5,6,7,8,9,10,11
0,,,0.3233211,,,,,,0.012424398,,0.017349245,0.64410156
1,0.070664376,,0.6834272,,,0.12925361,,,0.06666461,,0.034412768,
2,,,0.4645649,0.041887585,0.155065,,,,0.04659279,0.14422944,0.13406786,
3,,,0.51425785,,,,,,,,0.012221041,0.46967384
4,,,0.10267306,0.31047633,,0.34652737,0.16608705,,0.042505622,0.021123366,,
5,,,0.3305133,,,,,,,,0.055046435,0.60907346
6,,0.2566965,0.45317638,0.19561474,,,,,,0.06865967,,
7,,0.07527491,0.31369886,,,,,,,,0.5997303,
8,,,0.38534406,0.04542895,,,,0.3140039,,0.23989224,,
9,,,0.12855418,,,,0.07149128,,,0.058539513,0.73413324,
10,,,0.27934122,,,0.12292858,,0.22289377,0.05964484,0.17119251,0.13314383,
11,0.044704683,,0.15338008,,,,,,,0.057703167,0.6665312,0.06381735
12,0.025437647,,0.49410203,,,,,,0.09640672,0.13562599,0.23634881,
13,0.030288499,,0.30120668,,,,,,0.021802422,0.03190854,0.6003509,
14,,0.16145249,0.62638956,,,,,0.14845556,0.013121674,0.037655838,,
15,,0.077548586,0.51794654,,,,,,0.04254679,0.090945974,0.25650108,
16,0.15449607,,0.4681425,0.17316559,,,,,,0.097615674,0.08439895,
17,,,0.57209694,,0.04263691,,,0.16008487,0.02481188,0.18583041,,
18,,0.18951686,0.4207477,,,,,0.10302514,0.019667463,0.02888363,0.22111437,
19,,,0.5322353,,0.08141837,,,,0.08529401,,0.27995613,
20,0.034008592,0.14585888,0.4056019,,,,,0.3435497,,0.05795141,,
21,0.020725707,,0.52507395,,,,,,0.13868003,0.15535943,0.14647752,
22,0.09099311,,0.40404093,,,0.08215425,,0.20180425,,0.13061695,0.073634185,
23,0.13628398,0.08966276,0.16882448,,,,,0.22604923,,0.22897753,0.13604203,
24,0.049276996,,0.5545829,,,,,0.06779833,0.14290313,0.086512096,0.08461169,
25,,0.17197013,0.51352686,,,,,0.06537212,,0.12901187,0.10838208,
26,,0.21654904,0.6682691,,,,0.08345708,,,,,
27,0.016248431,,0.53584087,,0.051995393,,0.09038635,,,0.056795828,,0.2355152
28,0.23617265,,0.16819017,,,0.17523804,0.051818304,,,0.2057557,,0.15474074
29,,,0.7185779,0.10291884,,,,,,0.11544252,0.04911238,
30,0.15977463,,0.42913643,,,,0.08135208,0.16463469,0.023224425,0.12863052,,
31,,,0.41920984,,,,0.22049622,0.0958363,0.07339387,0.16978508,,
32,,0.3357741,0.5197322,,,,,,,0.097083144,0.026465598,
33,,,0.26998907,,,0.055590805,,0.19639114,0.15779209,0.11317702,0.103930995,0.088706784
34,0.045836397,0.22241539,0.12973265,,,,,,,,0.5344857,0.05735872
35,,0.023425572,0.3912713,,,,,,,0.07725072,,0.49499428
36,0.032127474,,0.42365244,,0.04994326,0.08158151,,0.17692254,,0.14722602,0.07486328,
37,0.041433346,,0.44331712,,0.07809973,,,0.17273569,,0.12542003,0.12338066,
38,,,0.4833357,,,0.05231183,0.19542277,,,0.10906758,0.14167005,
39,0.033581197,0.25441852,0.4548454,,,,,,,0.023359165,0.22378586,
40,,,0.43240163,,,,0.24317543,0.037428394,,0.046358895,0.19450308,0.037800495
41,,,0.56288683,0.049863547,,,,,0.14287944,0.14183323,0.05694641,0.028266903
42,0.03729609,,0.3275038,0.042822476,,,0.08804058,0.15419841,0.09289045,0.16460301,0.08518469,
43,0.03270834,,0.54840386,,,,,,0.07585374,0.051839706,0.2775297,
44,0.023507258,0.1572984,0.22409415,,,,0.395893,,,0.11866131,0.0699022,
45,,,0.6700286,,,,,,,,,0.32426405
46,0.08569307,,0.70188683,,,,0.07534666,,,,,0.11560445
47,,0.113617025,0.3591272,,,,,,,0.13174927,0.3824763,
48,,,0.49662083,,,0.08474347,,0.19293882,0.10106999,0.11245491,,
49,0.034753762,0.030356292,0.15528631,,,,0.14095339,,,0.04723334,0.5857731,
50,0.17300802,0.057451453,0.20454368,,,0.16436276,,,,0.30264956,0.09079283,
51,0.0743908,,0.45753753,,0.093905196,,,,0.048341993,0.13307877,0.18095122,
52,0.07522422,,0.4773279,,0.23012714,,0.10767221,,,,0.08859911,
53,,,0.5384345,,0.10417287,0.08871314,,,0.07711458,0.104311146,,0.074777775
54,,0.18260074,0.5044657,,0.05223005,,,,,0.114721835,0.12783623,
55,0.09236177,,0.46276748,0.053621035,,,0.09007308,,0.10343155,0.17800772,,
56,,,0.34430388,,,,,0.13082819,0.039145816,0.20921476,0.26400134,
57,0.45433915,,0.11338128,,,,,,0.16082004,0.08902089,0.17732537,
58,,,0.3251003,,,,,,0.049033213,0.077408426,0.53717256,
59,,0.28774935,0.5677073,,,,,,,,0.12126071,
60,0.025640817,,0.48674297,,0.06863984,,,,0.020555051,0.09193079,0.297815,
61,0.11953335,,0.27524108,,,0.25581813,,,,0.10479273,0.07466309,0.1523621
62,0.037041005,0.3104223,0.42108288,,0.08507867,,,,,0.03969499,0.095799506,
63,,0.19873184,0.3957189,,,,,,0.17916924,0.103563726,0.11044217,
64,,,0.51492167,,,,,0.15827583,,0.04152577,0.2755308,
65,0.035975005,,0.46927497,0.077982396,,0.0856918,0.07768692,,0.14555338,0.095749296,,
66,,,0.3767398,,,0.23161271,,,,,0.359349,
67,,,0.6490293,,,,,0.15345526,,0.12997156,0.040308572,
68,,0.15547784,0.50366426,,,,,,0.08220088,,0.10670499,0.1315175
69,,0.08408389,0.053093135,,,,0.19120383,,0.024777917,,0.63727754,
70,,,0.5010474,,,0.15822142,,,0.09502688,0.15131028,0.07874276,
71,,,0.53014666,,,,,,0.044500444,0.13698865,0.1730184,0.10104044
72,,,0.380818,0.084518254,,0.15216982,,,0.07561759,0.084362514,0.09520688,0.11646648
73,,,0.3208883,,,,,0.33457008,,0.13622515,0.19137113,
74,0.10311659,,0.28372288,,,,,,,0.34041008,0.13243443,0.12395244
75,0.07051932,,0.48795855,,,,,0.26544443,,0.09749932,,0.06297731
76,,,0.35005242,,0.19357654,,,0.13946408,,0.034471788,0.27055642,
77,0.06408989,0.14191625,0.45178762,,,0.23493738,,,,0.09133995,,
78,0.06505352,,0.32060546,,,0.2110228,,,0.08300817,0.14689697,,0.15734518
79,0.057599265,,0.593984,,,,,,0.12889488,0.041844614,0.16449404,
80,0.11710005,,0.47103187,0.076570645,,,,,0.08348844,0.23388162,,
81,,,0.52329105,,0.088634476,,,,0.0990228,0.15252909,0.123586975,
82,0.053862028,0.15251638,0.47737637,,,,,,0.054678164,0.09089062,0.09513622,0.06577265
83,0.04582033,,0.44183713,,0.06988693,,,,,0.39512396,0.035127,
84,0.10930659,,0.547285,0.036778532,,,,0.116092436,0.08434184,0.09185803,,
85,0.055518292,0.25446314,0.25480735,,,,0.0685596,,,0.12616785,,0.2252912
86,,,0.62834626,,,,,0.14337377,0.020434067,0.19440392,,
87,0.025535898,0.12855391,0.5030864,,,,,,,,0.32717553,
88,,0.1179541,0.26289082,,0.06647346,,,,,0.16714711,0.3703353,
89,0.029979706,,0.59496915,,,,0.12119161,,,,0.20002858,0.0411994
90,,,0.44628167,,0.062379923,,0.16685814,,0.055900805,0.18483587,0.07015447,
91,0.119735785,,0.30212402,,0.051348854,0.095114306,,,0.0913818,0.31927678,,
92,,,0.14772645,,,,0.49042574,,,,0.35391012,
93,0.03786106,,0.38087872,,,,,0.12378441,0.047936972,0.30090135,,0.09041908
94,,,0.27157304,,,,,,0.16988863,0.21866247,0.10795161,0.21479754
95,,0.22804335,0.5907533,,0.075694084,,,,,0.08442908,,
96,,,0.40161654,,0.04797496,,,,0.08917571,0.105332054,0.23148334,0.114434816
97,0.021875685,,0.589415,,0.0913618,,0.101389974,,,0.10590223,,0.076002836
98,0.012282731,,0.62982535,0.14541915,0.087204866,,0.101929136,,,,,
