document,0,1,2,3,4,5,6,7,8,9,10,11
0,0.03808546,,,,0.51346624,0.3466912,,,,0.081734,,
1,,,,,0.84549284,,,0.13036549,,,,
2,0.0778633,,,,0.06983686,,,,0.29443863,0.5375003,,
3,0.057012904,0.43619964,,,0.2807923,,,,,,0.17207156,0.029231295
4,0.02103107,,,,0.06351392,0.32101083,,,0.14964718,0.42242187,,
5,0.026790282,0.5458849,,,,,,0.08232006,0.21519643,,0.105382234,
6,,0.15853904,,,,0.48855147,,,0.25383765,,,0.07343303
7,,,0.39284337,,0.19353165,0.17227474,,,,0.14492841,0.07179202,
8,0.028638735,,,,,0.23600931,,,0.14601664,0.44501686,0.12245222,
9,,,,,0.13787484,0.32112437,,,0.1636226,0.35102808,,
10,0.9948812,,,,,,,,,,,
11,,,,,,0.18600106,,,,0.4948232,0.29102087,
12,,0.19837943,,,,0.1987857,,0.104675,,,0.47042117,
13,0.04435448,,0.26552045,,,0.16580702,,,0.33721465,,0.17226823,
14,0.016464198,,,,,0.6405194,,,,0.31417412,,
15,0.14451413,,,,,,,,0.57661223,0.23879093,,0.03471857
16,0.043036528,,,,,0.20324075,,,,0.53611934,0.19420756,
17,,0.3858519,,,0.16549286,,,,0.1303936,,0.29471767,
18,0.0632652,0.21341318,,,,0.16992748,,,,0.413616,0.1201518,
19,,,,,,0.08327147,,,0.6371152,,0.24733739,
20,0.04046816,0.13237163,,,,0.34869587,,,,,0.4503605,
21,0.03775725,,,,0.66836905,,,,,,0.2894464,
22,0.026254201,,0.17874348,,0.10810817,,,0.123698436,,0.22532609,0.31981614,
23,,0.7956095,,,0.17279641,,,,,,,
24,,0.18605049,0.15974699,,0.20077366,,,,0.12292557,0.16824245,0.10605725,0.04089826
25,0.05145185,0.7855956,,,,,,0.06356051,,,0.07631767,
26,,,,,,0.36042503,,,0.21868145,0.27526265,0.11875914,
27,,,,,,0.3961124,,,,0.38172737,0.1896756,
28,0.030672042,0.38279864,,,,0.19652991,,,0.1597744,,0.21047105,
29,,,,,,0.20915328,,0.4283372,,,0.3337577,
30,,0.34186104,,,,,0.025762185,,0.15155707,0.46187755,,
31,0.08293827,,,,,0.5651195,,0.13176616,,,0.1830602,0.0145246405
32,0.023467965,,0.12859713,,0.23711559,0.55907106,,,,,,0.02962559
33,0.029531382,0.16603494,,,,0.29728666,,,0.18211342,,0.2768387,0.029941622
34,,0.43612185,,,,0.16987777,,,,,0.36394626,
35,0.06361261,,,,0.08855307,0.45542237,,,,0.1834667,0.18754253,
36,,,,,,0.35794997,,0.23450679,0.26113716,,0.08576208,0.038632713
37,,,,,,0.37322128,,0.081548244,,0.18765485,0.33137023,
38,,,,,,0.24998637,,0.24364045,0.18975832,,0.2906652,
39,,,0.32153603,,,0.40631124,,,,0.11057833,0.13732909,
