topic,SBS3,SBS4,SBS5,SBS6,SBS8,SBS12,SBS22,SBS40,SBS57
0,0.8682318180904302,,,,,,,0.8267737490193595,
1,0.8063507188714766,,,,,,,0.8868972447278068,
2,0.8288100628286021,0.8437857637800451,,,0.8520937643257301,,,0.8721789646052908,
3,0.8159944256694578,,,,,,,0.9387520132722411,
4,0.8118181332050209,,0.8311890092301469,,,,,0.9136210009396761,
5,,,,,,,0.98172041049669,,
6,,,,,,,,,0.9851382964455377
7,0.8682318180904302,,,,,,,0.8267737490193595,
8,,,,,,,,,
9,,,,0.8012265422391944,,,,,
10,0.8464523446295423,,0.9350966145154161,,,,,0.8762935660995692,
11,,,0.8822003206232801,,,0.8304987145954481,,,
