topic,SBS3,SBS5,SBS6,SBS12,SBS22,SBS40,SBS45,SBS57
0,,,0.801403056715647,,,,,
1,,,,,0.9817666217085664,,,
2,0.8137531387298542,0.9232062987545423,,,,0.8389659864348288,,
3,,,,,,,,0.991665288682076
4,,,,,,,0.824379295362525,
5,,0.8839680392582098,,0.8263113189695489,,,,
6,0.8514947183132174,0.8577521773600312,,,,0.9148169495522406,,
7,0.8410391266857599,,,,,0.9619544432238682,,
8,,,,,,0.8165022273487434,,
9,0.8682358233984889,,,,,0.8267738092303593,,
10,0.8682358233984889,,,,,0.8267738092303593,,
11,0.8469477808049932,,,,,0.925499183630703,,
