document,0,2,3,4,5,6,7,8,9,10,11,12,13
0,0.057833306,,,,,,0.023282425,0.03549301,,,0.09275589,0.35225734,0.42688063
1,0.053569708,,,,,,,,,,0.12579852,0.2218575,0.58403045
2,0.1632452,,,,0.050796207,,0.50476,0.2482597,,,,,
3,0.26266706,,,0.09478083,0.08641133,,,,,,0.021560123,0.1651647,0.3466055
4,,,,0.043736987,,,,,,,0.044395845,,0.88491106
5,,,,,,,0.08210455,0.7581743,,,0.053156227,0.078452736,
6,0.73957795,,,,,0.2402527,,,,,,,
7,0.1374541,,,,,0.7230512,,0.10719054,,,,,
8,0.6118482,,,0.012992433,,,0.17513934,,,,,0.048593633,0.14661247
9,0.55950415,0.21091849,,,,0.077313185,0.06199226,0.08930703,,,,,
10,0.24244192,0.3312318,,0.40419382,,,,,,,,,
11,0.44281927,0.23624875,,,,0.069693334,0.11300572,0.13426997,,,,,
12,0.049320683,,,,,,,,,,0.10585889,0.046307813,0.792758
13,0.04479859,,,,,,,,,,0.11821779,,0.8294865
14,0.18983716,0.06934535,,,,,0.341492,,,,0.11486377,,0.2530259
15,0.069815725,,,,,,,0.018945774,,,0.09604301,0.30345726,0.507776
16,0.054580193,,,0.077359214,,,0.026805887,,,,0.083531074,,0.7463786
17,0.09165228,,,,,,0.18664391,,,0.1071861,0.035184413,0.093893066,0.46568894
18,0.046171363,,,,,,,,,,0.065672636,0.29864323,0.5769034
19,,,,,0.3601263,,0.04554,0.1784949,,0.36671093,0.037388206,,
20,0.095725335,,0.012351889,,0.43078744,,,,,0.29731497,0.08398245,0.052062742,
21,0.12773272,,,,,0.027805278,0.061824262,,,,0.099745624,0.21648324,0.4514365
22,0.18778017,,,,,,,,,,0.042625822,0.236111,0.51611745
23,0.045692984,,,,0.04699479,,,,,0.042304933,0.051326904,0.05115038,0.7493632
24,0.38220763,,,0.15977749,,,,,,0.0732834,0.020940587,,0.3394227
25,0.08399055,,,,,,0.05322039,,,,0.095309466,,0.7578565
26,,,,,,0.10777104,0.44992846,0.29680976,,,,0.106658205,
27,0.14497577,,,,,0.027181514,,0.09309816,,,,0.37821946,0.3463417
28,0.17074522,,,,,,0.02998657,,,,0.039265368,0.13820763,0.6042265
29,0.047775824,,,,0.09298458,0.15468432,0.09248532,0.53763485,,,0.03012666,,0.032582447
30,0.08158667,,,0.36394697,,,,,,,0.030251857,0.28399,0.21045011
31,0.3989553,,0.03359189,,,0.07117269,0.08535205,0.35067216,,,0.032909367,,
