topic,SBS1,SBS3,SBS5,SBS6,SBS17b,SBS18,SBS29,SBS36,SBS40
0,,,,0.8472235163169636,,,,,
1,,,,,,0.9009545945542636,,0.8413522791039821,
2,,0.8643228284636171,,,,,,,0.8220783498470188
3,0.933462480706475,,,0.8736413655060616,,,,,
4,,,,,,0.9312622751555181,0.8941047005814076,,
5,,,,,0.9563228982040244,,,,
6,,0.913982689996545,0.8767805774399464,,,,,,0.8734158671431252
7,,,,,,,,,
8,,,,,0.9299796418400856,,,,
9,,0.864322847749024,,,,,,,0.822078372285838
10,,,,,,,,,
11,,,,,,,,,
