document,0,1,2,3
0,0.04114404,0.11048747,0.041938808,0.8064297
1,0.09994675,0.2193128,0.103502035,0.57723844
2,0.15076838,0.030527037,0.22073032,0.59797424
3,0.13479671,0.035836358,0.6900809,0.1392861
4,0.1617019,0.135771,0.23659886,0.46592826
5,0.1997208,0.18516636,0.21484017,0.4002727
6,0.5749489,0.030157514,0.045245167,0.3496484
7,0.21174505,0.012710189,0.05893901,0.7166057
8,,,0.1198341,0.8712472
9,,,0.0949846,0.8954681
10,0.056816842,,0.17346767,0.7685124
11,0.097803704,,0.2601059,0.6406225
12,0.3653817,,0.14511706,0.48768598
13,0.026809681,,0.04999478,0.92031103
14,0.039516095,,0.09423531,0.86304146
15,0.04843385,,0.16946165,0.77976835
16,,,0.04478251,0.94300884
17,,,0.03294394,0.959398
18,,,0.30169424,0.68583655
19,,,0.018904386,0.9726563
20,,,0.13855213,0.85126054
21,0.1202011,,0.12278471,0.7530928
22,0.15461291,,0.0148176225,0.8281435
23,0.12737195,,0.01650569,0.8518203
24,0.18968098,,0.17726424,0.6304501
25,0.088602856,,0.018159684,0.89040256
26,0.021044586,,0.035008594,0.9417441
27,0.03680118,,0.023514204,0.9373624
28,0.022539645,,0.022261556,0.9526471
29,0.04622428,,0.011712957,0.9408126
30,0.19533674,,,0.80101496
31,,,0.0151663665,0.9775445
32,0.07260318,,,0.9212836
33,0.044387452,,0.029000903,0.925887
34,0.12738177,,0.010885825,0.86122733
35,0.08670488,,0.046648353,0.8660461
36,,,0.020967778,0.9730108
37,,,0.05613368,0.9366496
38,0.02985455,,0.100285,0.86955476
39,,,0.23022942,0.7656239
40,,,0.24643153,0.74613214
41,,,0.19322692,0.8002418
42,0.013918971,,0.2535768,0.7323296
43,0.028775483,,0.2644262,0.7066414
44,,,0.30078322,0.6897076
45,0.047410347,,0.27005944,0.68226373
46,0.0307221,,0.30207622,0.6669382
47,,,0.33510345,0.6633753
48,,,0.38362074,0.61401
49,0.053769957,,0.388704,0.5573701
50,0.016897658,,0.4719755,0.51099646
51,0.023840856,,0.5338422,0.44221443
52,0.04280705,,0.5476425,0.40945834
53,0.07843956,,0.60672915,0.31472275
54,0.1213063,,0.63777524,0.2408193
55,0.17980884,,0.53271395,0.28736869
56,0.22991933,,0.5194623,0.25051102
57,0.32281834,,0.46681133,0.21026765
58,0.29919204,,0.4948899,0.20578758
59,0.4868959,,0.3748006,0.13816932
60,0.53261256,,0.38250795,0.084724575
61,0.6568768,,0.21710253,0.12588872
62,0.5657564,,0.26368096,0.17037812
63,0.59583205,,0.20691949,0.19707452
64,0.6158872,,0.14779074,0.23615126
65,0.6284234,,0.13747488,0.2339429
66,0.7151041,,0.08780078,0.19689977
67,0.6805342,,0.13435207,0.18486792
68,0.7612708,,0.05415692,0.18429713
69,0.6982759,,0.11123794,0.1902061
70,0.71281254,,0.08880617,0.19802366
71,0.47891468,,0.30862033,0.21209204
72,0.51928884,,0.29290947,0.18738557
73,0.59173614,,0.29878953,0.10906473
74,0.6020288,,0.30898735,0.08853573
75,0.28731933,,0.56231576,0.14993769
76,0.19992034,,0.61353487,0.18611328
77,0.25107864,,0.6506871,0.097774595
78,0.2749695,,0.6178998,0.10655212
79,0.23231173,,0.6543291,0.11290426
80,0.27630568,,0.65005517,0.072983585
81,0.3729769,,0.6013904,0.024836883
82,0.2051321,,0.7903243,
83,0.56640685,,0.42841944,
84,0.5283104,,0.4605055,
85,0.09186131,0.022685915,0.8493968,0.036055986
