topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS33,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,0.8931073484560377,,,0.940260338644544
1,,,0.8447943347074279,,,,,,,,,0.8592152733632648,,
2,,,,,,,,,,0.8338619259678726,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,0.8098357544718607,,
6,,,,,,,,,,,,,,
7,,,0.8265089153743704,0.8950703002553351,,,,,0.8117831543327659,,,0.8472569750668172,,
8,,,,,,,,,,,,,,
9,0.9511268587812893,,,,,0.8831053224048236,,,,,,,,
10,,,,,0.8407149046746636,,,,,,,0.8072510705971409,,
11,,,,,,,0.8086255734290794,0.984507479834072,,,,,,
12,,0.9852728473836766,,,,,,,,,,,,
13,,,,,,,,,,,,,0.8642774873646781,
