topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS33,SBS38,SBS40,SBS43,SBS45
0,,,,,0.8640138988243269,,,,,,,,0.8551716625806555,,
1,,,,,,,,,,,,,0.8223203965796193,,
2,,,0.8271911550984161,0.8966260076707817,,,,,0.8191708792847404,,,,0.8509750252358818,,
3,,,,,,,,,,,,,,,
4,,,,,,,,,,,,0.9040236437204966,,,0.9388513193247806
5,,,,,,,,,,,,,,0.8681156891722852,
6,0.9293951764895395,,,,,0.9040403931952431,,,,,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,0.8969035326238913,,,,
9,,,,,,,0.8414532158510005,0.9742438300650339,,,,,,,
10,,,,,,,,,,,,,,,
11,,0.9383002140512071,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,0.8221281339282737,,,,,
