topic,SBS1,SBS3,SBS5,SBS6,SBS17b,SBS18,SBS36,SBS40,SBS46
0,,,,0.8563472910842788,,,,,
1,,0.9263192646501558,0.8847123089578518,,,,,0.9154951014602469,
2,0.8640446446729885,,,0.8185436139478333,,,,,
3,,,,,0.9423078552422502,,,,
4,,,,,,,,,
5,,,,,0.8740543396605837,,,,
6,,,,,,,,,
7,,,,,,,,,0.8052650586688512
8,,,,,,,,,
9,,,,,,,,,
10,0.893636481527766,,,0.8657516054984858,,,,,
11,,,,,,0.9761610107990796,0.9165118639537372,,
