document,1,4,5,6,7,8,9,10,11
0,0.11555665,,0.24816373,,,0.61432725,,,
1,,,,,,0.89435214,,0.08941708,
2,0.6570798,,0.3174418,,,,,,
3,,,,0.3293484,0.29485857,0.3444663,,,
4,0.2297398,,0.53568786,,,0.056996353,,0.15289754,
5,0.21922559,,,0.16535181,,0.06387452,,0.17792234,0.35012862
6,0.29698113,,0.31368682,,0.11217762,0.17380972,0.08178041,,
7,,,0.2411616,0.093504466,0.4031286,0.23463644,,,
8,0.28207263,,0.35456848,0.12448659,0.14490364,0.07314312,,,
9,0.19592105,,0.5885347,,,0.18691067,,,
10,0.9949162,,,,,,,,
11,,,0.44634235,0.23182417,0.2054201,0.092586465,,,
12,,,,0.46654502,,0.24502262,,0.12609416,0.1355716
13,0.3707458,,,0.23500654,0.31437242,0.06350046,,,
14,0.057171803,,0.8518194,0.06311385,,,,,
15,0.8152387,,,0.14829527,,,0.030569026,,
16,0.1066838,,0.5772928,0.22297585,,0.07017688,,,
17,,,,0.27996957,0.15640084,0.25395197,,,0.2869121
18,0.2687187,,0.43837392,0.26815575,,,,,
19,0.37254098,,,0.22638957,,,,0.12781915,0.24581052
20,,,0.33572465,0.5048139,,0.12868622,,,
21,,,,0.17014465,,0.8250075,,,
22,,,,0.2638363,0.30143794,0.22688977,,0.18414451,
23,,,,0.15856265,0.3001989,0.21898845,,,0.29777795
24,0.16645905,,,0.17924099,0.36643153,0.23493086,0.031912696,,
25,0.11944678,,0.09348556,0.23132965,0.14075653,,,0.16469666,0.2337119
26,0.2300161,,0.4615175,0.15287046,,0.12937485,,,
27,0.107394,,0.6206737,0.24100839,,,,,
28,0.2587085,,,0.21367298,0.33813,0.1676215,,,
29,,0.047239296,,0.29546997,,0.2888725,,0.3437996,
30,0.2503687,0.043493364,0.35509047,0.14975627,0.18516761,,,,
31,0.28138214,,0.19103055,0.27078593,,0.23154967,,,
32,,,0.55636024,,,0.38298354,0.032573596,,
33,0.19742619,,0.37743744,0.398326,,,,,
34,,,,0.38752857,,0.22037819,,,0.36287892
35,0.15873376,,0.4157498,0.17410316,,0.22744916,,,
36,0.16150102,,0.28246155,0.22377402,,0.10582916,,0.20516564,
37,,,0.44550166,0.3031763,,0.22343263,,,
38,0.18442595,,0.023246797,0.2887124,,0.1494009,,0.33244714,
39,,,0.4181006,0.090642616,0.33246276,0.13556542,,,
40,,,0.16601887,0.3959132,,0.12665153,,,0.29234004
41,0.28406775,,0.4788067,,,0.21095482,,,
42,,,0.62932885,0.10229629,,0.23953241,,,
43,0.15200472,0.1850775,0.29116726,0.055017993,0.1135151,0.15627262,,,0.046619754
44,0.2676226,0.14493524,0.078325905,0.011294108,0.16770244,0.014542795,0.015521977,0.0389336,0.26094702
45,,0.2639997,0.13837983,0.03499219,0.25077596,0.038308296,,0.072741,0.19231641
46,0.10352937,0.33944252,0.07972255,0.20407146,0.094437085,0.09070304,,,0.08718141
47,,0.9331122,,,,0.059297193,,,
48,0.037484236,0.9576742,,,,,,,
49,0.06586367,0.19594796,,0.16432308,0.17006718,0.037860423,0.07694474,0.1375722,0.15062144
50,0.17612588,0.06899732,,0.22944319,0.2335063,0.0752646,,0.11755601,0.09780563
51,,0.24856149,0.12487774,0.1907269,0.36122796,,,0.07136839,
52,0.06048633,0.072946504,0.10447375,0.086590126,0.2446888,0.040261175,0.30740476,0.0827608,
