topic,SBS3,SBS4,SBS5,SBS12,SBS22,SBS39,SBS40,SBS57
0,0.8904226622776369,,0.8321913170631132,,,0.8020017137676354,0.8956181617233974,
1,,,,,,,,0.9391178138955011
2,0.8678181886618493,,,,,,0.8264749149112796,
3,0.8678181886618493,,,,,,0.8264749149112796,
4,,,,,,,0.8402333149721052,
5,,,,,,,,
6,,,,,0.8239410511855455,,,
7,,,0.8836491438395359,0.8399913839586703,,,,
8,,0.8107983004620668,,,,,0.8931609689808807,
9,,,,,0.9911801219925674,,,
10,0.844129103490701,,0.9142595569743075,,,,0.8753650623952971,
11,0.8348906304189674,,,,,,0.92011585978224,
