topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS13,SBS17b,SBS18,SBS36,SBS39,SBS40,SBS44
0,,0.833792755058213,,,,,,,,,,,
1,,,,,,,,,,,,0.8015420772572546,
2,,,,,,,,0.950188253131673,,,,,
3,,,0.891481367863627,,,0.8807535433985367,,,,,,0.8700608932833268,
4,0.890042091812652,,,,0.8298638853413761,,,,,,,,
5,,,,,,,0.9533627791092233,,,,,,
6,,,,,,,,,0.8558093463310696,0.8324295974371869,,,
7,,,,,,,,,,,,,
8,,,,0.8808734925351288,,,,,,,,0.8466934883069229,
9,,,,,,,,,,,,,0.8834626421009661
10,,,0.8655509632323133,,,,,,,,,0.8405629328575882,
11,,,,,,,,,,,,,
12,,,0.8400271543659422,,,,,,,,0.8700188596262207,0.8344767225976604,
13,,,0.8394190573342852,0.8695065686177119,,,,,,,,,
