topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS17b,SBS18,SBS36,SBS40
0,,,,,,,,,
1,,,0.868311719593506,,,,,,0.8268405709144154
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,0.9662568938804413,0.9082531073224662,
5,,0.9679093121861427,,,,,,,
6,,,0.8173686547566191,,,,,,0.8384204813929792
7,0.9474565451584909,,,,0.8693566369308456,,,,
8,,,,,0.8529652727123892,,,,
9,,,,,,0.9752686397570988,,,
10,,,,,,,,,
11,,,,0.8288930336228831,,,,,0.8987911879607581
