document,0,1,2,3,4,5,6,7,8,9,10,11
78,,0.31941897,0.05072812,0.01467414,0.20313047,0.031877484,,0.17982669,,0.1626434,,0.03679742
79,0.11274921,0.15966599,0.035738293,0.16743992,0.08000972,0.072114296,0.15880516,0.124134265,,0.016429888,,0.07281631
80,,0.040991798,,,,0.123720095,,0.8100159,,,,0.024373189
81,,0.11653789,,0.012309348,,0.13051541,,0.6133942,,,0.029835211,0.09671152
82,0.33393824,0.04398974,0.13437736,,0.17268012,0.021712717,0.10357837,0.045268927,0.011021439,0.10484099,0.013805727,0.014676985
83,0.13559698,0.24433774,0.18056701,,0.09553669,,0.11770878,,,,,0.21202545
84,,0.2199583,,0.023824979,,0.05075507,,0.07142945,0.030553717,0.5815062,,0.016026612
85,0.12823142,0.25457424,0.12599158,,0.06896949,,,0.02548837,0.021719355,0.15321086,,0.22156826
86,0.11565955,,0.047842927,,0.41201165,0.1236469,0.05149245,,,0.22239372,0.017111747,
87,0.07082927,0.09870469,,0.019184243,0.3870404,,0.04842945,0.014542378,,0.1150452,,0.2453111
88,0.24848372,0.1422128,0.09022637,,0.19115831,0.030451192,0.027113328,0.052158017,,0.111732334,,0.10625532
89,0.16271257,0.23694572,0.09154482,,0.12559958,0.014755158,0.09122851,0.015140647,,,,0.26191315
90,0.18751289,,0.13364588,,0.20064604,0.09998993,0.09705282,0.016531102,,0.13702518,,0.11533237
91,0.16213407,0.17638965,0.09985846,,0.3118902,0.035152763,0.01747852,0.020558108,0.017474486,0.02038757,0.025827026,0.11279741
92,0.1651741,0.30294234,0.052358728,0.027914613,0.0152055975,,0.014172318,,,0.23520619,0.011656413,0.17515011
93,0.34214967,0.032930434,0.16992046,,0.28094324,,0.10730917,0.035385255,,0.030720996,,
94,0.21114689,0.37796935,0.13968815,,0.010050591,0.10736287,,,,0.021553844,,0.12801787
95,0.16166806,0.25612333,0.11098341,0.10074043,0.040494446,0.051669367,0.04650435,,,0.113416076,,0.109643705
96,0.053947147,0.3993403,0.16779256,,0.037614513,0.030030442,0.11317766,,,,,0.19775267
97,,,0.010318794,,,0.9384958,,0.015857873,,,0.0248123,
98,0.08873932,0.3797866,0.18295519,,0.037940186,0.040756334,0.08961883,0.10676957,,,,0.072005056
99,0.2809052,0.16655628,0.15208714,0.016324112,0.08682042,0.021838719,,,,0.08623799,,0.18065813
100,0.2524587,0.1804606,0.09359122,0.01783576,0.105885394,0.038758263,0.047596976,,,0.1577271,,0.1019286
101,0.20705149,0.20690696,0.25495118,0.01209098,0.08867007,0.05310025,0.07674379,,,,,0.09849222
102,0.027064774,,,0.92859495,0.010460534,0.012941354,,,0.016244706,,,
103,0.034655534,0.30314282,0.1005359,,0.30477726,,0.01875234,0.049407512,0.036065415,0.030429363,0.01665029,0.105431296
104,0.060215402,,0.03005846,0.32128024,,,,,0.4864144,,,0.09056624
105,0.17036204,0.31134057,0.079009235,,0.084887765,0.05581313,,,,0.08305938,,0.20725916
106,0.104265094,0.16320497,0.08365598,,0.16995372,0.08143431,0.17953014,,,,0.016949035,0.19649589
107,0.1624381,0.19399881,0.091307744,0.014653429,0.18727987,0.012320794,0.012300196,0.044439178,,0.02290388,,0.25823012
108,0.08086487,0.28684103,0.050748568,,0.22466971,0.044047162,,0.06961921,0.018932942,0.1841648,,0.03964817
109,0.14900202,0.18602419,0.057497963,,0.22202322,0.053845976,0.012409656,0.034983777,,0.17819087,0.023862248,0.07464738
110,0.016798547,0.0622195,,0.42642713,0.073527515,,0.012336263,,0.11692494,0.036527056,,0.25511807
111,0.28667977,0.1697281,0.051232412,,0.044894844,0.013331939,0.049584847,0.061118383,,0.16332206,0.016601076,0.1434034
112,0.26217517,0.02493904,0.07771642,,0.06151085,,0.12780423,,0.020838832,,0.016157407,0.40016425
113,0.26427287,0.27723405,0.15595165,,0.061142225,0.04085017,,0.03187858,,0.018658722,,0.14387473
114,0.08240397,0.25759098,0.034154166,,0.19649792,,0.047239468,0.08098062,,,,0.2995884
115,0.3108741,0.17881566,0.053308237,,0.275387,,,0.044066563,,0.04503359,,0.08808286
116,0.23122606,0.16897433,0.05791123,,0.14755613,0.03972363,0.07163155,,,0.05367619,,0.21993162
117,0.15481277,0.08564316,0.16523886,0.02486833,0.13894117,0.060996957,0.09942943,0.047800794,,0.11633965,,0.09773503
118,0.19635014,0.23226872,0.1252041,,0.1071591,0.079236925,0.037136722,,0.016096177,0.077369235,,0.12885511
119,0.15641989,0.22236161,0.0813943,,0.11403706,0.0229047,,0.046768356,,0.17469375,,0.16697294
120,0.22551781,0.13695054,0.098985866,,0.03721337,,0.08229788,0.05184742,,0.14043182,,0.22446993
121,0.21664122,0.21625856,0.050958026,,0.14186443,0.14241406,0.071004376,0.01029872,0.012022576,,,0.13509738
122,0.32925418,0.15576725,0.06498275,,0.22022986,,,0.053885467,0.011695347,0.031989638,,0.12144741
123,0.18502358,0.2358054,0.07911524,0.020812249,,0.0644557,0.04314676,,,0.11846573,,0.25270692
124,0.37459686,0.13926095,0.015432834,,0.06869953,0.011228055,0.028066896,0.015233114,,0.030354805,,0.31695935
125,0.22233663,0.28253064,0.18074909,,0.15428318,0.06162999,0.020685138,,,0.026308553,,0.051121574
126,0.28756353,0.35111666,0.033656936,0.021577757,,,,0.035101715,,0.04037034,,0.22128996
127,0.012640949,0.355,0.041433293,,0.26001462,0.072273806,,0.047612663,0.012657601,0.059470043,,0.13225174
128,0.17176752,0.22190213,0.26668644,,,0.019104926,0.072625905,,,,0.012400375,0.23394212
129,0.24669057,0.21580198,0.092892006,,0.18230763,,0.067962356,0.03557289,,0.010750069,,0.14075162
130,0.05505979,0.3064894,0.12588015,0.020053746,0.10082148,0.062727764,,0.011801854,,0.028007906,0.012036193,0.2677734
131,0.23089711,0.33241326,0.11254425,0.017609121,,0.06898085,,,,0.061756648,,0.17537712
132,0.24104007,0.07822221,0.12811147,,0.05399947,0.092659414,0.15568464,,,0.056672636,0.011412935,0.1747863
133,0.035964694,0.31367818,0.041716408,,,0.04186466,,,0.023423322,0.16606583,0.0244427,0.3482707
134,0.2303598,0.28832746,0.06140765,0.021109793,,0.08732894,,,,0.18517135,,0.1256884
135,,,,0.3248819,0.011969859,0.03360569,,0.07916468,0.5421871,,,
136,0.21228455,0.3164397,0.01980994,,0.02153203,0.023897702,0.075389795,,,0.105356805,,0.20782667
137,0.20909882,0.2935204,0.017765418,,0.02357052,0.04471623,,,,0.2075123,,0.19393049
138,,0.048824824,0.019778986,0.5912687,,,0.034916215,,0.15734306,,,0.11595725
139,0.24910922,0.15979165,0.1179338,0.08526723,0.06105759,0.113346845,0.07800507,0.015680363,0.105620824,,,0.0140746385
140,,0.5758256,,,,,,,0.041675836,0.16341157,,0.21764085
141,0.17811407,0.14543761,0.23207508,,,0.03638917,0.14050244,,0.013080734,0.030066531,,0.21695134
142,0.24189821,0.2500073,0.17503898,,,0.014999332,0.044165246,0.050341744,,0.088226944,,0.13278176
143,0.15670742,0.25499567,0.11644136,0.010474786,0.05643017,0.047332536,0.09103347,,,,,0.25625297
144,0.01569263,0.46593922,0.10724186,0.011224818,0.055882968,0.09947612,,,,,0.016369648,0.21799693
145,0.249382,0.072746456,0.025509426,0.092561595,0.10442763,0.050429,,,0.22553533,0.07804435,,0.09211207
146,,0.13674417,0.10614199,0.010827544,0.030119339,,0.13209812,0.044860892,,,,0.53120613
