topic,SBS3,SBS4,SBS5,SBS12,SBS18,SBS22,SBS39,SBS40,SBS57
0,0.8177595610750944,,,,,,,0.9484987856171307,
1,0.8643026341904407,,0.8716253158093098,,,,,0.9049505978672806,
2,,,,,,,,,
3,,,,,,0.9933848457169573,,,
4,0.8298261567097143,,0.8158927849579697,,,,,0.9201382496011002,
5,,,,,,,,,
6,0.8496439904446698,,,,,,0.8494833821545932,,
7,,,0.8825440458069758,0.8293225781915539,,,,0.8007748970179719,
8,,,,,,0.8672177839352448,,,
9,0.837915348247491,,0.9193560292847864,,,,,0.8723256687072299,
10,,,,,,,,,0.9950606742537572
11,,0.8489608276940089,,,0.8162776588016312,,,0.8706409294200771,
