topic,SBS3,SBS5,SBS6,SBS12,SBS22,SBS40,SBS45,SBS57
0,,,0.8055366066696589,,,,,
1,0.8688166747285667,,,,,0.8277236960242353,,
2,,,,,0.9816894100930721,,,
3,,,,,,,,
4,0.8466961116183431,0.8757676317453518,,,,0.8903911975009515,,
5,,,,,,,,
6,0.8249054593225378,,,,,0.9459822024240452,,
7,,,,,,,0.8305697342680296,
8,,,,,,,,0.9895512614054541
9,0.8338293190347112,0.8423545046144997,,,,0.8935853862914963,,
10,0.8348941554179298,,,,,0.926242787878253,,
11,0.8046728406938728,0.8919315005318922,,0.8047400022072239,,0.8059429184759278,,
