document,0,1,2,3
0,0.04033755,0.10948631,0.8053611,0.044815052
1,0.09836398,0.21899712,0.5752001,0.10743879
2,0.15467559,0.030542016,0.5820587,0.23272368
3,0.16603613,0.03595509,0.11468349,0.6833253
4,0.16165738,0.13556889,0.4513609,0.25141284
5,0.19775832,0.18509372,0.3952052,0.22194278
6,0.5541405,0.030610953,0.3694891,0.045759473
7,0.20944375,0.0127330525,0.71506596,0.062757276
8,,,0.8413554,0.15049751
9,,,0.8714182,0.1209375
10,0.059510775,,0.7439978,0.19528884
11,0.110928774,,0.6150833,0.27252012
12,0.3761573,,0.48321784,0.1388078
13,0.023692816,,0.9039698,0.069463104
14,0.035987183,,0.8416242,0.11918537
15,0.0494637,,0.7534545,0.19474548
16,,,0.92170715,0.066812985
17,,,0.93713796,0.055536523
18,0.010468746,,0.64194965,0.34491748
19,,,0.9573245,0.034230232
20,,,0.8186153,0.17147137
21,0.12203974,,0.7367546,0.13729276
22,0.15196496,,0.8281343,0.01747309
23,0.12243989,,0.85454017,0.018712658
24,0.19726536,,0.61351746,0.18660916
25,0.087382466,,0.88641214,0.023375524
26,0.017421454,,0.92679036,0.053595535
27,0.033141974,,0.9287629,0.035781126
28,0.020078802,,0.94343954,0.033936948
29,0.044227935,,0.93593895,0.018583875
30,0.18996637,,0.8061642,
31,,,0.9660095,0.027324917
32,0.07143907,,0.92122275,
33,0.038278658,,0.913547,0.04745074
34,0.124032065,,0.85722286,0.018240366
35,0.08219499,,0.852929,0.064275764
36,,,0.9574792,0.038549643
37,,,0.91605526,0.079324
38,0.026461307,,0.84808534,0.12514749
39,,,0.731529,0.26332802
40,0.010423114,,0.71091473,0.2784334
41,,,0.77002186,0.22233881
42,0.019495565,,0.69794947,0.28238025
43,0.03605396,,0.67231315,0.29147598
44,0.01651331,,0.6508745,0.3323715
45,0.05663333,,0.6491352,0.29396495
46,0.041650485,,0.6306541,0.32743183
47,,,0.61810696,0.37956887
48,,,0.56772333,0.42306563
49,0.07298014,,0.51745695,0.409407
50,0.040900078,,0.4634196,0.49555
51,0.053663783,,0.39171055,0.5545233
52,0.07535061,,0.35994133,0.5646161
53,0.118562445,,0.26447687,0.6168523
54,0.16596785,,0.19157533,0.6423579
55,0.21880287,,0.2487837,0.53230506
56,0.2704815,,0.2163162,0.51309496
57,0.36294925,,0.18569854,0.45124957
58,0.3421386,,0.17873587,0.47899514
59,0.52707195,,0.13081293,0.341981
60,0.5751523,,0.079899095,0.3447937
61,0.6911397,,0.1402441,0.16848426
62,0.59998244,,0.17550409,0.22432894
63,0.6264617,,0.2078746,0.16548967
64,0.6410827,,0.25132766,0.107418746
65,0.65305614,,0.25062597,0.096159026
66,0.7372945,,0.22165492,0.040855106
67,0.70583683,,0.20463634,0.089280896
68,0.77645594,,0.21118578,0.01208268
69,0.72322035,,0.21307307,0.0634264
70,0.73571736,,0.22287467,0.041050028
71,0.5129795,,0.20836325,0.2782843
72,0.5522285,,0.18670209,0.26065314
73,0.6290078,,0.11322848,0.257354
74,0.6416076,,0.093160115,0.26478413
75,0.33496508,,0.11791932,0.5466887
76,0.24793889,,0.14479277,0.60683733
77,0.30637303,,0.059377454,0.6337906
78,0.3292531,,0.07211923,0.5980496
79,0.28642678,,0.072918124,0.64020085
80,0.33288088,,0.037450813,0.6290131
81,0.4321467,,,0.55764055
82,0.29822996,,,0.69823563
83,0.64767045,,,0.34704864
84,0.59436756,,,0.3949819
85,0.14816827,0.023023877,0.033126343,0.79568154
