topic,SBS3,SBS4,SBS5,SBS6,SBS8,SBS12,SBS22,SBS40,SBS57
0,,,,,,,,,0.9936627317841217
1,,,0.8093876104938229,,,,,0.8694162006396864,
2,,,,0.8075314830656332,,,,,
3,0.8679470678988852,,,,,,,0.8265828156615505,
4,0.8505767000011826,,0.9176195891493747,,,,,0.8717190891735112,
5,,,,,,,0.8852050060015793,,
6,,,0.8858644806543375,,,0.8406731861488156,,,
7,0.8304842370877586,0.821510876896269,,,0.8661594256180011,,,0.8858142520226071,
8,0.8379211852688777,,0.8392224337321024,,,,,0.9420784528268605,
9,0.8020063039328593,,,,,,,0.9119053637330866,
10,,,,,,,0.9919635985182446,,
11,,,,,,,,,
