document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,0.02639578,,,0.04092802,,,,0.050776247,0.6270126,,,0.15212141,0.0912241
1,,,,,0.050268468,,,,0.06292718,0.7486925,,,,0.122764945
2,0.17377976,0.38454738,0.15637319,,0.09708667,,,,0.1568976,,,,,
3,,,0.05597805,,0.30857483,,,,,0.3524091,,,0.23471443,0.022031346
4,,,0.17312725,,,,,,,0.75256115,,,,0.048165068
5,,0.5192596,,,,,,,0.37548304,0.042173926,,,,0.034708004
6,,,,,0.74832803,,,,,,0.23134947,,,
7,,,,,0.08489194,,,,0.15280576,,0.7296549,,,
8,,,0.12035327,,0.4676107,,,,0.31342718,0.09321764,,,,
9,,,,,0.4878992,,,0.025294729,0.19261642,,0.081280306,0.21193293,,
10,0.15221745,,0.071876355,,0.31575432,,,0.015913837,0.10680112,,,0.3219307,,
11,,,0.02170176,,0.3696309,,,0.036173902,0.2559805,,0.07904026,0.23462872,,
12,,,0.066947654,,0.030774293,,,,,0.7710955,,,,0.1253729
13,,,0.12753353,,,,,,,0.72564864,,,,0.13943139
14,,,0.5478256,0.01721198,,,,,0.22965766,,,0.05302448,,0.12096833
15,,,,,0.038838502,,,,0.093223624,0.69072133,,,0.08085254,0.09237512
16,,,0.31242046,,,,,0.01379299,,0.55823725,,,,0.10291445
17,,,0.19286229,,,0.13616548,,,0.2024603,0.4432024,,,,
18,,,,,0.030718146,,,,0.08581781,0.8050278,,,,0.06548205
19,,,0.05083401,,,0.20718862,0.46188352,,0.257766,,,,,0.013162649
20,,,,0.01670209,0.07740779,0.26319972,0.31975543,,0.24713445,,,,,0.047456775
21,,,0.037866835,,0.088471025,,,,0.16876605,0.5826119,0.010693349,,,0.0962291
22,,,,,0.21492077,,,,,0.71490884,,,,0.04356018
23,,,0.14231049,,0.025060425,0.062076468,,,,0.70916855,,,,0.046056863
24,,,0.2659526,,0.44672936,,,,,0.21779248,,,,0.04063301
25,,,0.16569597,,0.04487159,,,,0.01859685,0.6605513,,,,0.10153153
26,,0.29697037,0.13509549,,,0.05335566,,,0.4327736,,0.020867711,,0.03534185,
27,,,,,0.0727335,,,,0.31866676,0.59586483,,,,
28,,,0.1279985,,0.14677037,,,,,0.64853156,,,,0.056521583
29,,0.17232072,0.06033694,,,,0.21236211,,0.411466,,0.10971122,,,0.020086538
30,,,,,0.20030259,,,0.06873779,0.16143812,0.3826482,,,0.11946403,0.040346187
31,,,,0.036701474,0.29591572,,0.14156114,,0.4155611,,0.059733164,,,0.022915361
32,,,,,0.031609908,,,,,0.8956299,,,,0.06455443
33,,,,,0.36679915,,0.1137718,,0.20078395,0.2871387,,,,
34,,,,,,0.88424635,,,,0.105801046,,,,
35,,0.22510742,,,,,,,0.48478633,0.033282302,,,0.227826,
36,,,,,0.26685798,,0.26389423,0.063994884,0.24598476,0.083944075,,,,0.049750496
37,,0.48452187,0.07246583,,0.10389994,0.07435107,0.23522079,,,,,,,0.014752132
38,,,,,0.32603675,,,,0.09643482,0.53238755,,,,0.021953091
39,,0.20465647,0.18372582,,,,,,0.14480513,,0.087711774,,0.358121,
40,,,0.23736952,,0.17780131,,,,0.10789905,0.34129918,,,0.044693764,0.079207845
41,,0.26462406,0.030600917,0.031662848,0.12082307,,0.026036263,0.021305686,0.49532905,,,,,
42,,0.052807294,0.3203543,0.030206043,,0.19200307,,0.07877845,0.31008303,,,,,
43,,0.289804,0.114670806,,,0.06159602,,,0.44556442,,0.039516553,,,0.029296473
44,,,0.15948583,,0.071381055,,,,,0.68160063,,,,0.076148026
45,,,,,0.074845426,0.2839839,0.29903147,0.05941582,0.27013224,,,,,
46,0.19440491,0.16047728,,0.06727533,0.13260219,0.13392282,0.28365335,,,,,,,
