topic,SBS3,SBS5,SBS12,SBS22,SBS40,SBS45,SBS57
0,,0.8879250466299347,0.8253733373224399,,0.8084253653946306,,
1,0.8681894695344511,,,,0.8269446984930248,,
2,0.859760027005035,0.8582396611205176,,,0.9484078472342293,,
3,,,,,,,
4,,,,,,,0.992115359144519
5,,,,,,0.8328528427640601,
6,,,,,,,
7,,,,0.9024820022672373,,,
8,,,,,,,
9,,,,0.9923644629429911,,,
10,0.8577813663487961,0.8599676462020834,,,0.8921139160523152,,
11,0.845994219197705,,,,0.9492058149017207,,
