topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS16,SBS17b,SBS18,SBS36,SBS40
0,,,,,,,,,,
1,,,,,,0.953080335360813,,,,
2,,,0.8607802216737074,,,,,,,
3,,,,,,,,,,
4,,,0.8656931758967338,,,,,,,0.8243985323398155
5,,,,,,,,0.9585647830068068,0.8951116961001039,
6,,,,,,,0.8281229548328848,,,
7,,0.9557614481853505,,,,,,,,
8,,,,,,,0.9807456723418814,,,
9,,,,0.8092584182054733,,,,,,0.8664282779512331
10,0.9164143850393178,,,,0.8493003215574114,,,,,
11,,,,,0.8785454578198021,,,,,
