topic,SBS1,SBS3,SBS5,SBS6,SBS8,SBS17b,SBS18,SBS36,SBS40
0,0.9423094287478491,,,0.8685123969155462,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,0.8166600440374036,0.8077119050872036,,,,,,
4,,,,0.8250062492340524,,,,,
5,,0.8254798858718058,,,0.8204129830296758,,,,0.8762370278638048
6,,,,,,,,,
7,,,,,,,0.9695235242368595,0.9157027233472147,
8,,,,,,,,,
9,,,,,,0.9811070052813597,,,
10,,,,,,,,,
11,,0.8175526589611651,0.818234548708304,,,,,,0.8550826107873768
