document,0,1,2,3,4,5,6,7,8,9,10,11
0,0.35434744,,,,0.6237411,,,,,0.018726885,,
1,0.5154131,,,0.089538194,,,,,0.24208419,,0.08290349,0.054288544
2,0.383612,,,0.1608852,,,,0.19830808,0.11674031,0.12483709,,
3,0.5390387,,,,0.44071278,,,,,0.016431935,,
4,0.13403879,,,,,0.13802771,0.21460311,,,,,0.49883884
5,0.3371976,,,,0.6012154,,,,,0.056209635,,
6,0.42393053,,0.13031292,,,0.11245482,,,,0.03422137,,0.27639467
7,0.25436565,0.16212755,,0.037974536,,,,,0.037095044,0.49955252,,
8,0.31066987,,,0.17151995,,,,0.16701114,0.3201221,0.017390722,,
9,0.10295767,0.22392718,,0.065426,,,,,,0.60037386,,
10,0.20695111,,0.040414356,0.22719963,,0.10945415,,,0.28865936,0.11641678,,
11,0.14398973,0.13633049,,0.09684755,0.041995216,,,,,0.5516279,0.017290777,
12,0.4893665,,0.17101243,0.11234235,,,,0.05530712,,0.15972376,,
13,0.26483473,0.2086484,,,0.03123046,,,,,0.44020596,0.04063749,
14,0.560932,,0.16616029,0.048400067,,0.20969276,,,,,,
15,0.46419194,0.17762318,0.05740663,0.11009074,,,,0.04955508,,0.12878959,,
16,0.43115002,0.17619498,,0.09059696,,,,0.12732966,,,0.15249184,
17,0.5354131,0.04391796,,0.1170671,,0.19859129,,0.09041612,,,,
18,0.36190104,,0.17820057,,0.040285658,0.18980509,,,,0.21028283,,
19,0.5010808,0.18812248,0.116618715,,,,,0.07592322,,0.09960756,,
20,0.282635,0.1035008,,0.11654517,,0.09071862,,,0.3382912,,0.057235807,
21,0.50722647,,0.1740201,0.15441392,,,,0.075914904,,0.074877925,,
22,0.3548516,,,0.09835652,,0.21056649,,,0.12776957,0.09711407,0.09461288,
23,0.17165607,0.16312686,,0.2302437,,0.17137599,,,,0.08447447,0.16481176,
24,0.50504726,,,0.042441443,,,,0.031951416,0.21964516,0.063414805,0.12306689,
25,0.42264113,,,0.14232905,,0.21645615,,,0.06110649,0.14570044,,
26,0.5678291,,0.117935665,,,0.18177217,0.104405,,,,,
27,0.4715867,,,0.10346136,0.23465128,,0.090143844,0.08454216,,,,
28,0.15489505,,,0.36856252,0.13569507,0.082117505,0.057711177,,,,0.19282195,
29,0.66056275,,,,,0.16237189,,0.03806456,,0.061934147,,0.06519045
30,0.38657627,,,0.09659228,,0.23324104,0.09499905,,,,0.17316435,
31,0.44988996,0.19731009,0.067330435,0.06698798,,,,0.08089317,0.11917449,,,
32,0.44701752,0.21092743,,0.09681525,,0.12206635,,0.04344191,,,0.06427439,
33,0.26939204,,0.2284536,0.13707668,,,,0.06348857,0.2816274,,,
34,0.08884765,0.16233656,0.08561317,0.09155668,0.07341539,,0.024641978,,,0.426524,0.041350346,
35,0.38510233,0.016909253,,0.096901745,0.49752,,,,,,,
36,0.3323893,,,0.23863539,,0.057475112,,0.10431363,0.16257168,0.08802657,,
