document,0,1,2,3,4,5,6,7,8,9,10,11
0,,,0.22780222,0.033140898,,,0.01175824,0.7244467,,,,
1,,0.40536392,0.4437018,,,,,0.048720345,,0.08461763,,
2,0.14758451,,0.50842744,,0.13553873,,,,,,,0.19036902
3,,,0.38128,,0.016448375,,,0.59847254,,,,
4,,,0.16288228,,0.10538689,0.55161446,0.0245449,,0.14310919,,,
5,,,0.22004806,0.036572687,0.039783653,,,0.69885224,,,,
6,,,0.4975953,,0.10560418,0.19592416,0.06548749,,,,0.1127971,
7,,0.145165,0.21328014,0.055884004,0.57563853,,,,,,,
8,0.10830465,,0.52201885,,0.060796775,,0.040602334,,,,,0.25504392
9,,,0.13781926,0.11503883,0.72394264,,,,,,0.015885698,
10,,,0.3670974,0.044369385,0.1379534,,0.057786923,,,,0.14462556,0.2373764
11,,,0.20343652,,0.67830193,,,0.06132893,,0.040930815,,
12,,,0.6006485,0.1087176,0.18395188,,0.07129099,,,0.023226308,,
13,,,0.25709847,0.13360044,0.509872,,,0.050060667,,0.035172626,,
14,,0.09308907,0.5784929,0.09912263,,,0.052804634,,,,,0.16344304
15,,,0.55292904,0.21240969,0.17598775,,0.041955628,,,,,
16,0.09037834,0.13144262,0.45712036,0.10178411,0.053262208,,,,,0.14709198,,
17,0.07962803,,0.60180473,0.048559852,,,0.020638352,0.03578823,,,,0.20133415
18,,0.11108879,0.31946278,0.15707016,0.20567788,,0.065303445,0.09663377,,0.030727549,,
19,,0.19430766,0.36619788,0.2991056,0.07871565,,0.043417815,,,,,
20,,,0.40348625,0.17651476,,,,,,0.050890293,,0.35409805
21,0.029885173,,0.63501847,,0.14892067,,0.11224843,,,,0.060342204,
22,,,0.4554839,,0.102427006,,,,,0.082651086,,0.3372155
23,,,0.26883486,0.21984316,0.07083848,,0.070026666,,,0.113518484,0.16876158,0.076410554
24,,,0.6785204,,0.11082632,,0.15127116,,,0.039500516,,
25,,,0.5175549,,0.14570512,,,,,,0.09108078,0.23224989
26,,0.21822634,0.5227954,0.10943538,,,0.03853596,,0.08672368,,,
27,0.058098294,,0.52431166,,,,,0.26375693,0.1258586,0.011836913,,
28,,,0.25905356,,0.02701009,,,0.13215524,,0.19394875,0.37831536,
29,0.0750202,0.14616276,0.70450866,,0.06040399,,,,,,,
30,,,0.44078004,,,,,,0.09480405,0.15155056,,0.29495937
31,,,0.54654837,0.29128706,,,0.0704188,,0.0668064,,,
32,,,0.5224973,0.29527918,,,0.04317531,,,0.038314175,0.08242473,
33,,0.2794069,0.24993055,0.058495127,0.07145166,,0.15290156,0.08180462,,,0.09171153,
34,,,0.093632184,0.11523312,0.54473025,,0.03206907,0.08280955,,0.049409147,0.07492451,
35,,,0.34287113,0.02056737,,,,0.56563145,,,0.06736881,
36,0.087851636,,0.46478373,,0.1019464,,0.025536261,,,,0.11479285,0.18864524
37,0.112354815,,0.46055254,0.24051318,0.038279086,,,0.07843451,,0.054259244,,
38,,,0.48538604,0.22793096,0.101466544,,,,0.110067405,,0.05704142,
39,,,0.40754503,0.26885432,0.14952634,,,,,0.047697946,0.11634133,
40,,0.103448175,0.3605137,,0.2698918,,,0.09143402,0.16504325,,,
41,,,0.66390836,,0.07100991,0.051681813,0.108220845,0.085086785,,,,
42,0.11246901,,0.44951725,0.17401658,0.108954564,,0.10617984,,,0.037401576,,
43,,0.26609275,0.4221782,,0.23767662,,0.03787633,,,0.02274614,,
44,,,0.18423904,0.65498054,,,,,0.10178943,0.044648413,,
45,,,0.5078211,,,,,0.47877303,,,,
46,,0.09093315,0.5058744,0.10060527,,,,0.21086676,,0.07344809,,
47,,,0.3609618,0.31197032,0.23950112,,,,,,0.066916406,
48,,,0.55771124,0.025608614,,0.042276826,0.07974442,,,,,0.28246295
49,,,0.14507714,0.26354727,0.5508921,,,,,0.032947343,,
50,0.089672014,,0.32816952,0.025272751,0.08800647,,,,,0.15325494,0.3085182,
51,0.12184094,,0.5195747,,0.18965335,,0.036240205,0.04704343,,0.073852696,,
52,0.1638694,,0.4473365,,0.13367282,,,0.076367326,0.085005715,0.075675614,,
53,0.059747916,,0.5408468,,,,0.035978567,0.11719755,,,,0.23182409
54,0.07222708,,0.46173227,0.1288103,0.105529875,,,0.062986046,,,0.15277314,
55,,,0.62073725,,0.057517637,0.087614685,0.07189059,,0.04819821,0.09423951,,
56,0.064415924,,0.44361442,0.07684152,0.23625858,,0.04363629,,,,0.124809034,
57,,,0.2146868,,0.18034883,,0.1399858,,,0.45907706,,
58,,,0.3679039,0.10042188,0.48470676,,0.035655584,,,,,
59,,,0.46505782,0.23318173,0.104239166,,0.032474168,0.121665366,,0.027731726,,
60,0.08218046,,0.52763075,0.09549065,0.25460693,,,,,0.029839184,,
61,,,0.2506669,,0.07120525,,,0.18173102,,0.087535754,0.18817316,0.2031734
62,0.05096725,,0.37576938,0.2502579,0.0465341,,0.0762408,0.033748824,,0.037890065,0.121345274,
63,,,0.46431088,0.0967519,0.11283887,,0.16566403,,,,0.14799574,
64,,,0.467393,0.23317145,0.17989159,,,0.06674125,,,,0.044186328
65,,0.2487549,0.43627626,,,0.093256444,0.0888193,,0.06699288,0.051239036,,
66,,0.24280077,0.15084828,0.29672456,0.1800912,,,0.067372724,,,0.041608438,
67,,,0.72690773,,0.06716453,,,,,,,0.17562167
68,,,0.3663448,0.28526035,,,0.09499375,0.23057938,,,,
69,,,,0.14763376,0.6844477,,0.038405202,0.04726876,0.07273385,,,
70,,,0.5117977,0.14544015,,,0.06849912,0.081005156,,,0.17761765,
71,,,0.5336797,0.13224156,0.10940795,,0.03019406,0.18006966,,,,
72,,,0.4478777,,0.11753559,0.25507605,0.052642226,0.11164375,,,,
