document,0,1,2,3,4,5,6,7,8
120,0.22959322,0.057848394,0.010462133,0.11120443,0.04572453,0.33068836,0.01851436,0.1529494,0.04301523
121,0.0366193,0.022723664,0.064857855,0.013547132,0.22814962,0.13505219,0.08652489,0.092434034,0.32009134
122,,,0.09766384,0.02587921,0.303059,0.08565942,0.03302552,0.12281051,0.3218152
123,0.07674881,,0.07762147,0.025868384,0.35915038,0.07192676,0.060527667,0.03661937,0.28230673
124,0.6210002,0.109364785,,0.057782378,,0.176243,,,
125,0.010641864,0.060556576,0.1080204,0.014745943,0.30572835,0.17673485,0.039430283,0.06403634,0.22010542
126,0.748748,0.16032888,,0.06374405,,,,,
127,0.028487954,0.029496321,0.08813819,0.04617411,0.23927514,0.093714826,0.011349819,0.106270805,0.3570928
128,0.56580037,0.029291082,0.025993843,0.020356191,0.010321674,0.26408795,0.038250696,0.03325207,0.012646125
129,0.49801037,0.1077356,,0.0576157,,0.27490872,0.013989523,,0.026886167
130,0.65785885,0.024479482,0.019963332,0.027120203,0.011779348,0.14776495,0.01962661,0.010250153,0.081157066
131,0.02940541,0.049437482,0.011413935,0.011502838,0.045950145,0.54118955,0.08292887,0.088894,0.13927779
132,0.41817796,0.03879276,,0.03539376,0.01926868,0.35541663,0.034682512,0.014381624,0.07465156
133,0.3792148,0.015585726,0.017594032,0.046591073,0.014392804,0.4522972,,0.016242199,0.049462546
134,0.2257246,0.06241605,0.060554806,0.01790458,0.033407092,0.33058348,0.05125252,0.123960935,0.09419595
135,0.29824847,0.016189212,0.015143913,0.039699264,0.042860992,0.44157618,0.019967288,0.03347596,0.09283873
136,0.014183565,0.013438109,0.2957936,0.048465125,0.019961484,0.45711073,0.027744487,0.015955353,0.10734749
137,0.06472178,0.01423848,0.058644373,0.012071885,0.03781218,0.35962054,0.07156061,0.3259867,0.055343427
138,0.4794245,0.022779375,0.024474207,0.062205013,0.010690416,0.36663187,,0.01094224,0.013573422
139,0.3919507,0.022841115,0.011092267,0.06261401,0.01810428,0.30821317,0.013845066,0.013067998,0.1582714
140,0.20369409,0.07569177,0.027756516,0.105005905,0.026175559,0.44742808,0.03927256,0.017448593,0.05752692
141,0.6389212,0.039500393,0.015176743,0.017223055,0.017907389,0.22306164,0.011022246,0.021408591,0.015778732
142,0.7763547,,0.020497937,0.034027517,,0.13081275,,,0.014682168
143,0.011235078,0.016411753,0.04355649,0.11560478,0.059060972,0.26082182,0.080008306,0.25914255,0.15415822
144,0.4240698,0.028861806,0.01677166,0.14893474,0.017087575,0.28581092,0.013752764,0.03663614,0.02807464
145,0.14801832,0.03475765,0.021173706,0.037621472,0.051828127,0.51043785,0.01290408,0.14606075,0.037198048
146,0.14546517,0.044674072,0.013012694,0.08713522,0.025772192,0.41597098,0.060849883,0.14342101,0.0636988
147,0.49428558,0.012152071,0.017755343,0.054045435,0.025612481,0.29238144,0.022906188,0.032474976,0.048386477
148,0.03850709,0.022903569,0.043690003,0.058684994,0.09371884,0.46761706,0.055863213,0.12697071,0.092044555
149,0.5686297,0.012347929,0.107338965,0.037903693,,0.24144338,0.017229827,,
150,0.014475712,0.020257957,0.031402517,0.12275412,0.020055642,0.48433822,0.0790713,0.15604897,0.07159555
151,0.20883119,0.085707694,,0.11162123,0.021153638,0.43148854,0.054565612,0.0286148,0.048112307
152,0.238278,0.028431708,0.026366679,0.029422985,0.06434111,0.22192876,0.0697908,0.22080971,0.10063019
153,0.04415093,0.12977456,0.036064506,0.053863104,0.038864,0.2888732,0.13762912,0.21086341,0.059917167
154,0.021230977,0.42624584,,0.23266381,0.022212988,0.072528265,0.015964244,0.1644102,0.036504086
155,0.7458392,0.12200743,,0.034584682,,0.072804525,,,0.012543301
156,0.7177897,,,0.038737923,0.012337907,0.16645107,0.0147957085,,0.025085445
157,0.018766904,,0.124870524,0.11656539,0.11724496,0.049101856,,0.11158491,0.4469731
158,0.58381027,0.019444868,0.02264715,0.015940426,0.020366676,0.18082193,0.05798347,0.08254991,0.016435308
159,0.01613147,0.035868514,0.09144274,0.078905255,0.1365878,0.4100244,0.02113525,0.10559523,0.1043093
160,0.45517004,0.039577983,0.025565058,0.10775558,0.01568107,0.16889986,0.012735139,0.12769072,0.046924524
161,0.096777424,0.031054197,0.13928938,0.07658029,0.17647827,0.12256774,0.017676078,0.01664287,0.32293373
162,0.2886439,,0.16755436,0.047880862,0.047294322,0.10489255,0.010204639,0.037800323,0.28630486
163,0.35953426,0.02324659,0.04364757,0.051168542,0.014125715,0.4074173,0.026922898,0.012437567,0.061499532
164,0.26829845,0.017436448,0.07748685,0.059641782,0.1968156,0.10645876,0.023331583,0.041865837,0.2086647
165,0.056694377,0.064408354,0.015697774,0.10658251,0.019127015,0.31806993,0.035973832,0.22388199,0.15956427
166,0.038125847,0.030163525,0.12281485,0.072519034,0.062282026,0.4130857,0.07528015,0.053882293,0.13184658
167,0.016702145,0.026721813,0.057854977,0.044445213,0.022932857,0.7449355,0.017559111,0.020763023,0.048085343
168,0.0207017,0.032969896,0.026260847,0.10817902,0.042539783,0.35004154,0.041863974,0.21142247,0.16602081
169,0.72736406,0.015059014,,0.04604692,,0.17495908,,,
170,0.29917514,,0.18983452,0.026915113,0.10120074,0.04145431,0.03532379,0.015200535,0.28348294
171,,0.013418674,0.19643943,0.09668523,0.05331973,0.17736225,0.10788964,0.24349833,0.10271457
172,0.16733295,0.026600463,0.24012701,0.08508173,0.02397777,0.24710824,0.040244237,0.11606638,0.05346123
173,0.2723042,0.11269094,,0.12149715,0.014004815,0.38984522,0.015912093,0.02845736,0.040015258
174,0.1380619,0.3875572,0.10644511,0.11285828,0.010831753,0.14004363,0.07070066,0.02096027,0.012541154
175,0.02957277,0.05767975,0.2012939,0.02750326,0.17797153,0.0951019,0.022596136,0.02060328,0.36767748
176,0.07565496,0.035029735,0.1756756,0.08156114,0.18386139,0.10131414,,0.0144833755,0.32315314
177,0.04110406,0.018193943,0.024899326,0.192555,0.021682326,0.49484593,0.06270385,0.12173358,0.02228195
178,,0.013670575,0.16339107,0.011670663,0.29358497,0.018192165,0.029156402,0.07245181,0.39112413
179,0.38692218,0.022693573,0.018970884,0.05863053,0.01615166,0.2568193,0.07042119,0.0960263,0.07336436
180,0.028864648,0.023545139,0.041143067,0.07855996,0.05234201,0.45430812,0.027364053,0.11056426,0.1833087
181,0.017912606,0.084967755,0.02318271,0.041351542,0.14786096,0.3159255,0.08255373,0.22035867,0.065886535
182,0.1423639,0.05198466,0.016007956,0.06515453,0.029888619,0.29732245,0.07382305,0.28032976,0.043125108
183,0.016093269,0.061998375,0.06967791,0.051419828,0.15133968,0.22453657,0.051610664,0.055988666,0.31733504
184,0.31123212,0.033242356,,0.08435963,0.03558511,0.19631463,0.015778035,0.1769419,0.13864724
185,,0.024274,0.12508857,0.055251904,0.28340584,0.14228223,0.04248677,0.013839694,0.30415696
186,0.39224482,0.037005965,0.04750005,0.096376546,0.047244284,0.29238614,0.019611811,0.025031447,0.04259898
187,0.1439358,0.0799436,0.017580645,0.076989986,0.032413412,0.28008708,0.03361514,0.25409514,0.081339195
188,0.2264516,0.14325781,0.015068369,0.011796097,,0.49371874,0.025590418,,0.070085965
189,0.18221019,0.052042533,0.041569825,0.10526488,0.019149216,0.5233719,0.020168642,0.020580934,0.03564189
190,0.020063398,0.04771723,0.08716995,0.061916932,0.13963646,0.21701054,0.022759272,0.08109394,0.32263228
191,0.16066001,0.10058859,0.019202968,0.075511195,0.02987483,0.53117543,0.026872033,0.0200924,0.03602259
192,0.053111248,0.056319326,0.026656566,0.109195314,0.02068686,0.6168434,0.020764254,0.01716671,0.079256274
193,0.45282915,0.02307264,0.041331552,0.053802285,0.03654107,0.16040376,0.021565946,0.12869991,0.08175371
194,0.10198172,0.016671348,0.31776527,0.027227664,0.02578277,0.13916303,0.01985962,0.2235435,0.1280051
195,0.018753327,0.021666575,0.020252965,0.031025631,0.07837945,0.4060572,0.028553462,0.2829951,0.11231631
196,0.16885336,0.045474965,0.13519843,0.016763158,0.15757252,0.13696398,0.047662362,0.029877098,0.26163417
197,0.40187117,0.10422286,0.10766567,0.039507695,0.027606389,0.20077555,0.010234183,0.058472518,0.049643945
198,0.03437159,0.10749058,0.2258976,0.016114969,0.11871122,0.29989412,0.05999715,0.10979823,0.027724585
199,0.076700725,0.019526053,0.017697137,0.034022085,0.037381276,0.64751136,0.018695397,0.04668447,0.10178146
200,0.3350583,0.057770927,0.066703916,0.09803351,0.03147857,0.25853574,0.040896777,0.030117208,0.081405066
201,,0.036952946,0.18460345,0.17148772,0.031645153,0.19316907,0.04204615,0.12267164,0.20950279
202,0.51234186,0.01150047,0.061969012,0.0216248,0.011768847,0.2829203,0.0106353685,,0.07850989
203,0.28959244,0.033734474,0.35721472,0.044736303,0.03467073,0.105008796,0.016678823,0.028363941,0.08999975
204,0.054879643,0.026629765,0.11916394,0.08670414,0.069386676,0.20358557,0.017333353,0.11664484,0.30567208
205,0.2092123,0.038182627,0.034565445,0.10370176,0.1959919,0.27141067,0.063120715,0.046226475,0.03758809
206,0.19506468,0.025579121,0.16869791,0.05579472,0.07816321,0.26840582,0.015478694,0.14703386,0.045782
207,0.21161366,0.043156136,0.011624153,0.06384813,0.015892847,0.21237572,,0.40598017,0.026517019
208,0.08570944,0.056689817,0.3955775,0.04144437,0.0149839325,0.31873956,0.015493336,0.012243513,0.05911856
209,0.042010855,0.03397511,,0.031640396,0.060067136,0.26162347,0.07662205,0.30746883,0.17677799
210,0.26336637,0.029458346,0.037994143,0.0615341,0.031824753,0.4884295,0.019518252,0.042838644,0.025035966
211,0.057285395,0.024282511,0.1486632,0.03715509,0.1418736,0.12010088,0.023537012,0.13798845,0.30911386
212,,0.029073253,0.052661683,0.053497836,0.12474724,0.2726546,0.04948154,0.18195067,0.2276372
213,0.49387646,0.10544527,0.12862752,0.01086417,0.021953681,0.068460055,0.010346987,0.14656238,0.013863457
214,0.06267968,0.038905527,0.2821351,0.05060067,0.07942062,0.16190836,0.063374884,0.17013185,0.0908433
215,0.3726503,0.016264258,0.02301004,0.040901564,0.015579307,0.37248746,0.056392446,0.012739709,0.08997493
216,0.042564407,0.033660177,0.2972322,0.10229999,0.061172552,0.25294167,0.016015463,0.13986513,0.054248434
217,0.60776454,0.03459177,0.053332385,0.058086514,,0.18152018,,,0.043264408
218,0.09385327,0.031313665,0.17826654,0.13693997,0.13184246,0.26465544,0.036590412,0.087928966,0.038609292
219,0.2813902,0.017525405,0.28003094,0.0313432,0.023422437,0.24116646,0.014390567,0.06171287,0.049017943
220,0.09912154,0.04208098,0.54728997,0.014188383,0.024298415,0.10250302,0.05056755,0.09282591,0.027124278
221,0.10788055,0.0618278,0.31187737,0.017554997,0.0295946,0.35730064,0.013354202,0.019567015,0.08104286
222,0.21195404,0.030250654,0.020305414,0.13237055,0.054925963,0.23165326,0.08716701,0.08265823,0.1487149
223,0.110663176,0.038308017,0.10735823,0.07500491,0.048894193,0.3726913,0.02949734,0.13192622,0.08565665
224,0.18846752,0.02897229,0.08738544,0.026102299,0.029999893,0.24351151,0.07959732,0.206046,0.10991773
225,0.047609985,0.02007519,0.678646,0.072632216,0.012958237,0.13144475,,0.0143333245,0.0161383
226,0.015601456,0.019414244,0.13349436,0.014134114,0.2605085,0.08743059,0.027509952,0.09374187,0.34816492
227,0.023318514,0.10636074,0.38180193,0.022954034,0.017875673,0.36932284,0.038536612,0.021698223,0.018131478
228,,,0.08998666,0.026373267,0.40521094,0.09260357,0.035483055,0.050845437,0.28211337
229,0.085112594,0.13048552,0.29709128,0.02630621,0.052031998,0.2548805,0.047095936,0.08742601,0.01956994
230,0.01733669,0.08236342,0.10818076,0.058698,0.25964004,0.05401331,0.017903285,0.057262525,0.34460202
231,0.018011136,0.010373878,0.31868854,0.12617153,0.04963867,0.17104976,0.052472055,0.03612374,0.21747068
232,0.18465707,0.024841506,0.15446556,0.25419515,0.024646979,0.28109804,,0.011445043,0.0572296
233,0.010522722,0.016008027,0.027299715,0.12065253,0.2801843,0.22314627,0.084133655,0.11829812,0.119754635
234,0.029045714,0.022378106,0.19122316,0.06542276,0.30833763,0.067547254,0.06821359,0.059212863,0.18861893
235,0.03936564,0.032989066,0.46939602,0.036566604,0.029308112,0.20852141,0.028120227,0.06421607,0.09151689
236,,0.022889055,0.1530395,0.1373163,0.023984347,0.31038707,0.048415445,0.257508,0.03765036
237,0.33971885,0.33984083,0.026363168,0.06029477,,0.19944188,,,
238,0.0682144,0.025327958,0.019119527,0.14294831,0.033596247,0.3713977,0.13084815,0.17689815,0.031649537
239,0.1609764,0.035379756,0.040025856,0.12843607,0.07000932,0.28609067,0.047565397,0.17040683,0.06110974
240,0.55349255,0.010659284,,0.014187716,0.014629826,0.23359232,0.01743893,0.088457055,0.061134752
241,0.09658136,0.030957308,0.6827043,0.034392126,0.015360204,0.06170897,,0.04579688,0.0271613
242,0.09988568,0.0150771085,0.022833157,0.039876092,0.0664532,0.36900383,0.080333985,0.16883908,0.13769788
243,0.07934373,,0.6337649,,0.07826518,0.11258775,,0.0208237,0.047902558
244,0.09886305,0.030795204,0.017097967,0.0204671,0.19439857,0.37830323,0.09932723,0.029263513,0.13148414
245,0.10703946,0.044320207,0.018338973,0.07639296,0.034991194,0.54022896,0.05372956,0.026418148,0.09854054
246,0.1866883,0.021335438,0.03684179,0.11687342,0.025683139,0.37027398,0.015736172,0.047661554,0.1789062
247,0.09785595,0.082523786,0.029585289,0.042105347,0.020093046,0.5834752,0.011002944,0.02630745,0.107051075
248,0.875043,,0.011558336,0.03926435,,0.05218124,,,
249,0.022293301,0.07469322,0.03468886,0.07320246,0.033789407,0.2590825,0.081653,0.18258548,0.23801176
250,0.015688166,0.03978911,0.0447397,0.07793757,0.10682663,0.3068074,0.048668075,0.23027417,0.12926918
251,0.3079901,0.0347306,0.028471729,0.03396709,0.052758787,0.24790362,0.032887477,0.15025483,0.11103583
252,0.027915332,0.030692793,0.04526515,0.040473096,0.08480058,0.39349097,0.022494456,0.1318779,0.22298971
253,0.04013863,0.1529096,0.0685042,0.016629137,0.05162037,0.16453129,0.06415917,0.3871127,0.054394864
254,0.12005447,0.053393554,0.019565748,0.12512572,0.07026238,0.43617344,0.017706307,0.051334634,0.106383786
255,0.21302351,0.035069667,0.027477784,0.047106296,0.025148256,0.41464436,0.07816076,0.07086113,0.08850822
256,0.059329838,0.017266886,0.05629221,0.030932156,0.18884304,0.20584866,0.03410289,0.093144275,0.31424007
257,0.20194684,0.022319067,0.039380707,0.063718066,0.045069735,0.20354944,0.012153362,0.23372668,0.17813613
258,,0.022828113,,0.91976285,,,,0.023272121,
259,0.4767349,0.20681605,,0.054183666,,0.21899635,,,0.010119752
260,0.5905322,0.02577023,0.01763076,,0.010388028,0.28683993,,0.010665666,0.04174637
261,0.463965,0.0162933,,0.045488678,0.03752572,0.3322153,0.030176809,0.014271979,0.05553785
262,0.019788783,0.030780878,0.010024411,0.079119705,0.022954388,0.71787065,0.03288265,0.045420647,0.041157875
263,0.34585857,0.17437965,0.017364467,0.032046508,0.030279899,0.14229208,,0.057078622,0.1919498
264,0.17509465,0.13514388,0.025927594,0.103516236,0.03292918,0.3942672,0.033708606,0.03876702,0.060645614
265,0.03390171,0.056413118,0.06986695,0.035356432,0.34851548,0.09533109,0.034418497,0.013092253,0.31310442
