topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,
1,,0.9716872605695773,,,,,,,,,,,
2,,,,,,,,,,0.8940468744790118,,,0.935583349924206
3,,,,,,,0.8480831829490052,0.9740041098945572,,,,,
4,,,0.8293932141018299,0.8922491039554528,,,,,0.8197961505156547,,0.8540048338023406,,
5,0.8796516863826586,,,,,0.8366530884308357,,,,,,,
6,,,,,,,,,,,,0.8624280743280437,
7,,,0.8021868819316699,,0.8650611209218507,,,,,,0.8652455171250246,,
8,,,,,,,,,,,,,
