document,0,1,2,3,4,5,6,7,8,9,10,11
77,,,,0.15388004,0.4147661,0.10652748,0.17954852,,0.06376777,0.067917794,,
78,0.14560507,,0.17799227,0.20809372,0.33263162,,,,0.061030786,,,0.05859313
79,,,,,0.6827015,,,0.16553122,0.074000776,,,0.06158502
80,0.08346966,0.14119549,,0.113974154,0.49248126,0.021315293,,,0.1324475,,,
81,,0.14169592,,0.07043335,0.5989888,,,0.119839855,,,,0.056087267
82,0.08577335,,,0.06896576,0.48503077,,,,0.059939165,0.21467938,,0.07388327
83,,0.2091227,,0.28008103,0.47100627,,,0.026066033,,,,
84,,,0.11817,0.059274644,0.60460377,,,,0.09338373,,,0.107448444
85,0.26314247,,,0.12997518,0.22497332,,0.09491053,,0.08803916,0.14338051,0.04299734,
86,,0.07301488,,0.06554008,0.6690002,,0.15503806,0.0256414,,,,
87,,,,0.056665994,0.46401083,,,0.18864346,0.027333815,0.24969123,,
88,0.066665694,0.07370508,,0.081807144,0.18780504,,0.07398625,0.13147314,,0.37397826,,
89,0.09889534,,,,0.52728164,,,0.11540201,0.016272413,0.19353563,0.038136665,
90,,0.09385415,,0.09393299,0.5229193,,,,,0.27084646,,
91,0.08741818,0.1999668,,0.21385871,0.330086,,,,0.14406428,,,
92,,,,,0.15749437,,,0.0802306,,,0.7542124,
93,0.12383038,0.19234824,,0.113229565,0.4627423,,,,0.058717757,0.030715285,,
94,0.19791847,,,0.16656661,0.38126272,,,0.092212714,,,,0.14481299
95,,0.095281005,,0.048774235,0.6205343,0.10161928,,,,0.064525105,,0.053443067
96,0.13712566,0.06211926,,0.03922827,0.4301498,,,0.12588277,,0.13704464,,0.060239717
97,0.12043765,0.1033446,,0.08714968,0.57513165,,,,,,0.0975048,
98,,0.12618604,,,0.6246448,0.109272994,,,,,0.107276425,
99,0.06937011,0.09477319,,,0.37864438,,0.15539326,0.087314956,0.20549224,,,
100,0.040474497,0.027733324,,0.18770999,0.2715611,,,0.07495382,0.07925122,0.13854699,,0.17425673
101,,,,0.093409106,0.4220547,,,,0.054750577,0.3480594,,0.064865425
102,,0.16688775,,0.056458708,0.24069962,,0.30728373,,0.02040579,,0.18834642,
103,,0.042724926,,,0.46404004,,0.037271082,0.073404856,0.01543208,0.13383144,0.22705305,
104,0.09541225,,,,0.77065474,,,,0.066315584,0.041213617,,
105,,0.21593118,,,0.53352684,0.10500199,,0.02639142,0.04800139,,,0.058423027
106,,,,0.08916057,0.30316818,,,0.40198523,,,0.18974747,
107,,0.04578229,,0.155976,0.5184013,,0.060425624,,0.092413075,0.10757541,,
108,,,,,0.33637878,,0.44265705,0.12215974,0.07795433,,,
109,0.039566677,0.050447788,,0.06496666,0.74035966,,,0.06735667,0.02221983,,,
110,0.27032438,,,0.044370186,0.6667748,,,,,,,
111,0.0831467,0.13924126,,0.06830274,0.5189388,,,,0.053037234,0.044796027,0.083832316,
112,,,,0.17840682,0.58851683,,,,0.066776685,0.14348194,,
113,,0.17505455,,0.06045645,0.43760937,,,,,0.18119049,0.12448098,
