topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS9,SBS17b,SBS18,SBS29,SBS36
0,,,,,0.852102907847755,,,,,
1,,,,,,,,0.9802300199423648,0.8020872669015208,0.9192494621717139
2,,,,,,,,,,
3,,,0.8210731829232318,,,,,,,
4,0.9301332137828321,,,,0.8664148758136646,,,,,
5,,,,,,0.8420831748071483,,,,
6,,,,0.8562556426444028,,,,,,
7,,,,,,,0.9837214714460419,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,0.8472429651452933,,,
11,,0.9292029030485651,,,,,,,,
