topic,SBS3,SBS5,SBS6,SBS12,SBS22,SBS40,SBS45,SBS57
0,,,,,,,,0.9890411383869154
1,,,,,0.9820660916232662,,,
2,,,,,,,0.820957627759098,
3,0.8545559651640574,0.9164066713852257,,,,0.8639262566030871,,
4,,0.8721942817777604,,0.8631806923425972,,,,
5,0.8590031601058118,,,,,0.9009657097536306,,
6,0.8384273410826095,0.834292055649744,,,,0.9323735635863754,,
7,,,0.8024222166609348,,,,,
8,0.868165359794316,,,,,0.8268224399040329,,
9,,,,,,,,
10,0.8133402485113759,0.825165676947935,,,,0.9082718696963203,,
11,0.8169734764719356,,,,,0.9134011713523462,,
