topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS13,SBS17b,SBS18,SBS36,SBS40
0,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,0.8245822708097634,,,,
3,,,0.9296418823990865,0.8837699933490009,,,,,,0.9423588635573495
4,0.9294618283336685,,,,0.8699824392068403,,,,,
5,,,,,,,,,,
6,,,,,,,0.8877184416554781,,,
7,,,,,,,0.8530129689142134,,,
8,,,,,,,,0.9597749853587272,0.8915887851317411,
9,,,,,0.8641786291808707,,,,,
10,,,,,,,0.9882861636349819,,,
11,,0.957030122223423,,,,,,,,
