document,0,1,2,3,4,5,6,7,8,9,10,11
0,,,0.7777169,,,,,0.023668593,,,0.18675508,
1,,0.08693673,0.06409242,,,,,0.0410709,,,0.7900031,
2,0.16470584,,,,,,,,,0.1330727,0.63320804,0.051273167
3,,,0.6814143,,,,,0.016588317,,,0.29822493,
4,,,,,,0.33630824,0.10272611,,0.33177817,,0.19073498,0.026041925
5,,,0.7630333,0.022804206,,,,,,0.042418048,0.16695543,
6,,0.0431223,,,,0.19520538,,,0.0697999,,0.66569334,
7,,,,0.026631115,,,,,,0.59690124,0.35956895,
8,0.107273765,,,,,0.056006882,0.12844616,,,,0.62602955,0.068887375
9,,,,0.16405372,0.06164046,,,,,0.5974382,0.14182031,0.028663445
10,,,,,,,0.19302952,,0.1055972,0.13389514,0.48360938,0.071149655
11,,0.029620303,0.108554356,0.08485519,,,,,,0.60238504,0.13121659,0.031438958
12,,0.043953735,,,,,,,,0.22698812,0.6952144,0.01998079
13,,0.029766561,0.07445737,0.10826088,,,,,,0.49207634,0.28105018,
14,,0.031316385,,,,,,,,0.064387105,0.8748309,0.014750416
15,,,,0.1521722,,,,,,0.14277582,0.64890283,0.039581377
16,0.056197852,0.133868,,0.13697092,,,,,,,0.59770966,0.053103913
17,0.093616046,,0.04669657,0.027184011,,,,,,,0.7470385,0.07096114
18,,0.055681158,0.073805906,,,,,,,0.29740432,0.55095017,
19,,,,0.14156236,,,,,,0.15257046,0.6819105,
20,,0.056943644,,0.10769296,,,0.1421797,,,,0.64504975,0.035116065
21,,0.07293538,,,,,,,,0.13577785,0.7099554,0.065777674
22,0.054252617,0.10341588,,,,,,0.14396924,,,0.62839264,0.05017524
23,,0.14785178,,0.06570752,,,0.28186578,,,0.10159409,0.25262493,0.13612333
24,,0.10836126,,,,,,0.10398429,,,0.7658715,
25,,0.015752822,,,0.04762911,,,,,0.12212715,0.7397081,0.06309941
26,,,,0.13861792,,,,,,,0.82587165,
27,,,0.29487175,,0.070185006,,,,,,0.61487955,
28,,0.24107394,0.22178274,,0.02915268,,,,0.23178716,,0.13710926,0.13088295
29,,,,,,0.08336349,,,,,0.85712475,0.044220157
30,,0.17908463,,,0.09061413,,,,,,0.6717064,0.040844716
31,,,,0.17883001,,,0.14424103,,,,0.5609391,0.091326654
32,,0.061687578,,0.18176986,,,,,,,0.6752345,0.060680307
33,,0.036806542,0.08652136,,,,0.3013667,0.1034942,,,0.3924383,0.062356465
34,,0.08349888,0.09006837,0.108458735,0.12403182,,,,,0.4394217,0.11835164,0.028925896
35,,,0.6091505,0.013482152,,,,,,,0.3326258,0.033480633
36,0.11361575,0.039545886,0.04586386,,,,,,,0.11450844,0.6029208,0.06712454
37,0.097224414,0.04999706,0.09618838,0.18549049,,,,,,,0.4981911,0.057465386
38,,,,0.20278202,0.12991217,,,,,,0.61010796,0.036278557
39,,0.05571226,,0.15557085,,,,,,0.18353407,0.5599941,0.035173688
40,,,0.10361676,,0.2494024,,,,,0.14762515,0.4585305,0.031201633
41,,,0.08904358,,,,0.15219918,0.027311487,,,0.61632943,0.09468831
42,0.059026774,0.06523939,,0.17291102,,,0.16069067,,,,0.46757075,0.06317412
43,,0.024688656,,,,,,,,0.25329113,0.6796059,0.027085038
44,0.055687733,0.053891156,0.04020131,0.54634047,,,,,,,0.24986255,0.04338682
45,,,0.58428174,,,,,,,,0.39993322,0.010268954
46,,0.0649495,0.19485639,0.062077574,,,,,,,0.65766174,
47,,,,0.1735657,,,,,,0.2767624,0.47112763,0.0654171
48,,0.03168187,,,,,0.15217489,,,,0.7524918,0.049980503
49,,0.04005665,0.026563508,0.3753155,,,,,,0.38444588,0.1275533,0.040446054
50,0.07607405,0.17738324,,,,,,,0.20574276,0.09816115,0.2778134,0.15762785
51,0.11319713,0.07796701,,,,,,,,0.17419995,0.5992307,0.021576235
52,0.15975197,0.061287746,,,0.18108974,,,,,,0.57367164,
53,0.088719554,0.025871618,0.14139609,,,,,,,,0.7072006,0.022698695
54,0.05719696,,0.062321294,0.06712258,,,,,,0.12730664,0.6210973,0.04922305
55,,0.13413869,,,0.06910065,0.025049204,,,,,0.6433509,0.10534833
56,0.06928737,0.016759971,,,,,,,,0.28283226,0.55912644,0.05971824
57,,0.610523,,0.047530424,,,,,,0.14284845,0.13552578,0.05835352
58,,,,0.03643552,,,,,,0.49898914,0.42692736,0.026321063
59,,0.040333886,0.11883211,0.25155628,,,,,,,0.5686556,
60,0.053107835,,,,,,,,,0.2910136,0.6015539,0.042623244
61,,0.111841835,0.1833049,0.0831361,,,,,0.23466183,,0.3425313,0.02696166
