topic,SBS1,SBS3,SBS5,SBS6,SBS17b,SBS18,SBS36,SBS40
0,,,,,,0.9566862122866023,0.8972619779989566,
1,,,,,,,,
2,,,,0.8772163962094406,,,,
3,,,,,0.8160747288330898,,,
4,,,,,0.8133405314157881,,,
5,,,,,0.9017830084415506,,,
6,,,,,,,,
7,,,,,0.9701164609358455,,,
8,,0.9008743352133963,0.8717369344126199,,,,,0.921420546762062
9,,,,,0.9782911280203942,,,
10,0.9086105327584424,,,0.8569073391126655,,,,
11,,,,,,,,
