topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS10b,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS30,SBS39,SBS40,SBS44
0,0.9235866551529457,,,,0.8289587860264367,,,,,,,,,,,
1,,,,,,,,,,0.9526902893058902,,,,,,
2,,,,0.837265641968505,,,,,,,,,0.8502997348284472,,0.802723802557147,
3,,,0.8995515612057213,,,0.878944291076578,,,,,,,,,0.8932473022022206,
4,,,,,,,,,,,0.8727423223763591,,,,,
5,,,,,,,,,,,,,,,,0.9214767792674846
6,,,,,,,,,0.9908627398741063,,,,,,,
7,,,,,,,,,,,,,,,,
8,,0.8176004888512085,,,,,,,,,,,,,,
9,,,,,,,0.8950575459095893,,,,,,,,,
10,,,0.8357570004029478,,,,,,,,,,,0.9059613035734813,0.8049258339819562,
11,,0.9333936521723368,,,,,,,,,,,,,,
12,,,0.9053524185057228,,,,,,,,,,,,0.8393270455673956,
13,,,,,,,,0.924752534226508,,,,0.9464224322016498,,,,
