document,0,1,2,3,4,5,6,7,8,9,10,11
0,,0.023322359,,,,,0.030533282,,,0.8212006,0.122120894,
1,0.060551606,0.036939975,,,0.1162407,,0.13260958,,,0.16317436,0.47719738,
2,,0.1376412,,,0.13924897,,0.06317138,0.16801704,,0.0771333,0.40144062,
3,,0.024267256,,,,,,,,0.68063056,0.29130697,
4,,,,0.3376322,0.101388104,,0.058519404,,,,0.122950025,0.36693874
5,,,0.07189821,,,,,0.01578969,,0.76328003,0.13819504,
6,,,,,0.13502192,,0.1374326,,,,0.44387236,0.2577068
7,,0.5844502,,,,0.095872246,0.034616455,,,0.051910795,0.22436126,
8,,0.055934206,,,0.14853509,,0.14882204,0.15506428,,0.104985654,0.37536708,
9,,0.47684196,0.30509108,,,0.09000219,,,,,0.120685965,
10,,0.14359829,,,0.09361216,,0.1931891,,0.22687636,,0.3299913,
11,0.036020286,0.4497037,0.2521394,,,,,,,0.09729756,0.15088797,
12,0.02829486,0.2299654,,,,,0.14962588,,,0.15800966,0.42195415,
13,0.040706124,0.5398146,,,,0.106157765,,,,0.118994705,0.18023847,
14,,0.06128883,,,0.15478355,,0.19654562,,,0.03846609,0.5359575,
15,,0.2055877,,,,0.16537425,0.097882286,,,,0.5144171,
16,0.13754654,0.08418069,,0.105520315,,0.060531884,,0.08378591,,,0.5096596,
17,,0.023451725,,,0.065876916,,0.11307801,0.12668507,,0.18007582,0.47836983,
18,0.025448104,0.24250063,,,0.051478494,0.093986355,0.1625296,,,0.1651726,0.2451145,
19,,0.23003294,,,,0.09163044,0.1375598,0.0484297,,,0.47391,
20,0.03307657,0.042002626,,,0.21533018,0.15044205,0.17764325,,,,0.37031072,
21,0.037274905,0.13622755,,,,,0.17991494,0.03312126,,0.122516766,0.47932562,
22,0.07703151,,0.12578344,,0.16888188,,0.10852905,0.062312096,,0.104734525,0.3389965,
23,0.10839917,0.11983192,,,,0.123922184,0.16050892,,0.23248841,,0.24057576,
24,0.059548035,,0.09396635,,,,0.22559018,,,0.07353949,0.53061336,
25,,0.06560043,0.111106515,,0.26382414,,0.079985216,,,,0.4676151,
26,,,0.083424754,,0.09582435,0.11921925,0.124065936,,,,0.55314785,
27,0.015598103,,0.08413406,,,,,0.08138047,,0.38055906,0.4227578,
28,0.17830881,,,,,,,,0.43389243,0.18949658,0.18740624,
29,,0.07399584,,,0.118933335,,,0.08782276,,0.08030728,0.6267031,
30,0.13815084,,0.058241405,,0.21060127,0.050727043,0.104218505,,,0.044574652,0.38242665,
31,,,0.0858995,,,0.21208192,0.1417569,0.034383982,,0.04942808,0.4582996,
32,0.054089222,0.052254617,,,,0.21522233,0.1022873,0.037600566,,0.10128932,0.42432284,
33,,0.10549508,,0.08652205,,,0.3039746,,0.11789341,0.0948333,0.27426848,
34,0.06602267,0.26806155,0.39274564,,,,,,0.081412405,0.07261886,0.110409304,
35,,,0.01523435,,,,,,0.07196187,0.65211064,0.25710568,
36,,0.10978632,,,0.2669224,,0.09011337,0.10174749,,0.10094983,0.31412268,
37,0.06260467,0.10422356,,,,0.14815412,,0.1315987,,0.13228221,0.40556982,
38,,,0.25765252,,0.15365402,0.109181836,,,,0.059844356,0.401458,
39,0.059945494,0.23125453,,,0.13820843,0.17054251,,,,0.034571435,0.3568275,
40,,,0.41361776,0.06642053,,,0.025110928,,,0.1310634,0.3540718,
41,,0.054686677,,,,,0.23220527,,,0.14571707,0.54399294,
42,0.045891058,0.08676245,,,,0.14633158,0.18590756,0.08987954,,0.05022416,0.35004818,0.03751075
43,0.014004149,0.26629674,,,,,0.18867192,,,0.07495338,0.44245574,
44,0.054814287,0.11784161,,,,0.6227938,,,,0.027950186,0.16417924,
45,,0.013741548,,,,,,,,0.57126933,0.40991178,
46,0.07958795,,,0.039710525,,0.120196395,,,,0.293997,0.44801044,
47,0.02973034,0.33265182,,,0.058940895,0.19960669,,0.028608816,,,0.34072036,
48,,,,,0.16063167,,0.31120905,,,0.0674133,0.44638062,
49,0.038064532,0.3664998,0.2759587,,,0.17179114,,,,,0.14109193,
50,0.13802218,0.0798771,,,0.07110182,,,0.059683662,0.35440707,,0.28974786,
51,0.09644712,0.095103316,0.101824515,,,,,0.14753081,,0.14643686,0.40098953,
52,0.07831132,,0.19804119,,,,,0.1943686,,0.14895299,0.35942268,
53,,,,,0.15004854,,0.12052352,0.09780816,,0.22076178,0.39649457,
54,,0.12210298,,,,0.090256475,,0.070817776,0.17956641,0.1187166,0.40268558,
55,0.10230891,,0.07961817,,0.14276502,,0.113758616,,,0.087013006,0.4546163,
56,,0.28183356,,,0.16756302,,0.096313044,0.06501174,,,0.37688535,
57,0.53409755,0.16111259,,,,0.053672962,,,,0.05872967,0.18720323,
58,,0.40801227,0.1153919,,,0.070241965,0.07574865,,,,0.32065704,
59,0.03837931,0.12781844,,,,0.20285885,0.053583853,,,0.16976056,0.39200643,
60,0.037333596,0.27440405,,,,0.08081638,,0.097546354,,0.043705896,0.45737898,
61,0.1007606,0.08812293,,,0.30308557,,,,0.069316864,0.2310051,0.18994686,
62,0.049446277,0.13186486,,,,0.09438228,0.142973,0.058558952,0.103301875,0.09391521,0.3183043,
63,0.04453646,0.12338415,,,,0.046946023,0.25025645,,0.08282407,0.08613039,0.3571345,
64,,0.24059509,,,,0.14419527,0.07497938,,,0.13286145,0.39892006,
65,0.05546769,,0.051143218,0.12729353,0.0804857,,0.17685786,0.04032765,,,0.4561907,
66,,0.26591748,,,0.12794772,0.2566294,,,,0.09812992,0.22691146,
67,,0.071150504,,,0.06410062,,0.09831765,0.04203711,,0.06341415,0.64056253,
68,,0.067004,,,,0.16937155,0.16780305,,,0.29275233,0.28309447,
69,,0.30505618,0.57081985,,,,0.0557205,,,0.020512732,0.038317185,
70,0.049255203,0.07965362,,,0.19261397,,0.06924111,0.029850619,,0.15948792,0.40884194,
71,,0.14228167,,,,0.069947146,0.071844615,0.026969453,,0.21583623,0.46087366,
72,,0.06932055,,,0.14020985,,0.119927846,0.026646737,,0.19037946,0.3248751,0.11782873
73,,0.19217817,,,0.11170025,0.101825744,0.17084704,,,0.09012931,0.32066807,
74,0.08313221,0.11828825,,,,,,0.21640004,0.09338981,0.112118624,0.36292553,
75,0.067477226,,,,,0.12198541,0.13065735,0.05103011,,0.22538263,0.38999116,
76,,0.26289022,,,,0.09735775,0.06734088,0.17496184,,0.13838111,0.24889809,
77,0.08037185,0.036321227,,,0.4194481,0.06886976,,,,,0.37891474,
78,0.08982732,,,,0.14439389,,,,0.21750933,0.20114069,0.32815686,
79,0.08112277,0.10800221,0.05992658,,,,0.11310868,,,0.096092105,0.5305309,
80,0.16402742,,,,,,,0.14898768,,0.20628503,0.43229416,0.030641753
81,0.032676347,0.11749947,,,,,0.08715052,0.14087069,,0.14233218,0.46850258,
82,0.07754687,0.07346701,,,,0.15738901,0.12175643,,,0.17469607,0.3834867,
83,0.022542497,0.010150861,,,,,,0.24924316,0.1594145,0.0972909,0.45120016,
84,0.10714526,,,0.10938176,,,0.19211169,,,,0.5722229,
85,0.098997205,,0.09713178,,0.13451228,0.12387533,,,,0.28915402,0.24104929,
86,,0.020806823,,,0.09978775,,0.11116154,0.07228954,,0.05510956,0.6307335,
87,0.044622827,0.2746596,,,,0.18028031,,,,0.13013741,0.3567772,
88,,0.2727757,,,0.09077459,0.2796742,,0.076495536,,0.09499769,0.17226747,
89,0.023540054,0.13921198,0.089532405,,,0.12878513,,,,0.19815394,0.41038823,
90,,0.067293406,,,,0.2309394,0.09099318,0.07494508,,0.082999565,0.4392676,
91,0.14893644,,,,,,,0.20776716,0.19786488,0.09658939,0.32495657,
92,,,0.82468706,,,,,,,0.018400665,0.14865753,
93,0.05628244,0.0148193715,,,,,0.072588876,0.20502247,,0.19695818,0.43573827,
