topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS18,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,0.8601585797983818,
2,,,,,,,,,,0.8771833030683489,,,,
3,,,,,,,0.829203395920486,0.9800754122265352,,,,,,
4,,,,,,,,,,,,,,
5,,,0.8359629385920372,0.8973280856521753,,,,,0.8211734039159171,,,0.8501684935747782,,
6,,,,,0.8479561634237758,,,,,,,,,
7,0.9326213097194558,,,,,0.840175259119645,,,,,,,,
8,,,,,,,,,,,,,,
9,,,0.8447345482063346,,,,,,,,,0.9374034499318905,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,0.8885829844297353,,,0.9332317087398565
12,,0.9634418699478515,,,,,,,,,,,,
13,,,,,,,,,,,,,,
