document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
42,0.07465139,0.6100811,0.0458898,0.03429388,0.01906622,,0.013630259,0.044168632,0.013242462,0.011210926,0.045906402,0.011329161,0.022206662,0.04526196
43,0.05529538,0.4843944,0.027902389,0.04040703,0.0329993,0.021325083,0.014284254,0.049556248,0.022451527,0.085335456,0.05665119,0.013596269,0.019403012,0.07639846
44,0.05970832,0.5054142,0.010128152,0.018717773,0.04853863,0.016365688,0.07503125,0.028411422,0.020944985,0.0193511,0.07478219,0.014474867,0.05288475,0.055246696
45,0.04632603,0.7192446,0.025618676,0.025425319,,0.027207846,0.028022574,0.021975782,0.02212103,0.013791527,0.012918114,0.014775158,0.010298913,0.027697332
46,0.0273698,0.011899149,0.02194227,0.051725987,0.21181077,0.019824712,0.2359247,0.09416131,0.013899859,0.015832527,0.06976287,0.016302098,0.042539578,0.16700439
47,0.07343496,0.027510805,0.029735576,0.18324962,0.054066792,0.023812382,0.1879716,0.14587827,0.013502978,0.038049545,0.068359196,0.019286664,0.025779514,0.1093621
48,0.05035798,0.016589312,0.020263355,0.03802111,0.021006629,0.18434525,0.030518128,0.03810831,0.044273477,0.018028272,0.35756525,0.1313954,0.038232766,0.011294742
49,0.05453342,0.044884525,0.13256414,0.035490524,0.029769685,0.03798297,0.03492828,0.34474915,0.10334139,0.04755404,0.035869252,0.025122952,0.037163958,0.036045726
50,,,,0.04456233,0.8390899,,,0.06503809,,,,,,
51,0.18096396,0.016039057,0.025637671,0.021650162,0.015764805,0.030482115,0.046223372,0.06395369,0.011529511,0.1276409,0.26396266,0.098586984,0.015600918,0.08196417
52,0.027474018,0.010653016,0.013590692,0.043429162,0.52082413,0.011644807,0.01017776,0.1922545,0.010323204,0.010207682,0.0394937,0.011677013,0.082245186,0.016005155
53,0.038829617,0.05238203,0.037072,0.01145889,0.17298737,0.050573204,0.10746142,0.07928918,0.036857676,0.052869756,0.02959401,0.05531702,0.044852894,0.2304549
54,0.06416509,0.021685207,0.06661663,0.044002768,0.03595233,0.11492154,0.033449627,0.05092459,0.021761833,0.031214025,0.056413937,0.032153834,0.1740489,0.2526897
55,0.020041551,0.011926926,0.05526771,0.03783285,0.29213136,0.047515273,0.017198041,0.12974341,0.011067435,0.091133185,0.09204074,0.015749369,0.024903573,0.15344855
56,0.15411985,0.049955897,0.10482444,0.054511193,0.06629379,0.036259316,0.021623664,0.1490716,0.070147365,0.12148399,0.04323213,0.04118485,0.026233012,0.061058886
57,0.023216004,0.020614292,0.021110434,0.050175514,0.124160826,0.03343556,0.02989289,0.18620759,0.029441213,0.080557615,0.20485906,0.018753458,0.047545623,0.13002993
58,0.019932091,0.058423698,0.01655582,0.023696011,0.18140808,0.020118328,0.12987915,0.09162342,0.026825644,0.20423417,0.041311674,0.03391213,0.032783758,0.11929606
59,0.05801562,0.019895824,0.048695534,0.025528014,0.09099549,0.09469403,0.12283916,0.17320365,0.032567818,0.03296828,0.19762468,0.022502245,0.043812376,0.036657285
60,0.14644237,0.028215582,0.07388051,0.026491858,0.01678445,0.02360329,0.07008224,0.17597444,0.013975415,0.04615619,0.20474073,0.021230023,0.013935628,0.13848732
61,,0.013698962,0.061260216,0.04684744,0.017301412,0.20465903,0.012007467,,0.02772688,0.025079118,0.4011385,0.1308511,,0.038009323
62,0.045739725,0.029510517,0.07764356,0.052956868,0.14869007,0.026586585,0.019388923,0.11050499,0.05509476,0.02348689,0.05750167,0.055517405,0.112517014,0.18486103
63,0.0228268,0.015775418,0.19319867,0.04539997,0.033437394,0.024896698,0.01853994,0.35057065,0.02813722,0.0346676,0.092654474,0.022849796,0.065914795,0.051130544
64,0.05133914,0.01379091,0.08436509,0.053250268,0.025680132,0.045850184,0.113590844,0.12531064,0.0653275,0.058279198,0.18214285,0.078436434,0.07022336,0.032413416
65,0.0108845495,0.012691292,0.03753596,0.07692349,0.43601626,,,0.26057547,0.015254955,0.039533366,0.030184684,,0.034931086,0.021838494
66,0.07670936,0.03578166,0.030388812,0.04153213,0.09552573,0.06429299,0.08063315,0.18520632,0.026462099,0.042983104,0.102190055,0.0492745,0.058464214,0.11055586
67,0.1464502,0.026766835,0.03443409,0.10200594,0.11892035,0.026700212,0.014835957,0.094023846,0.025368432,0.060808565,0.04788387,0.03543981,0.1827904,0.083571486
68,0.013167168,0.010511533,,0.030556608,0.7558528,,,0.10960921,,,0.018634435,,0.014347626,0.011053887
69,0.027590143,0.02363439,0.036929067,0.038073175,0.28849226,0.034515586,0.021318745,0.28020018,0.047571197,0.027213674,0.031445954,0.049006432,0.059056062,0.034953106
70,0.01634582,0.017495465,,0.015245125,0.7783386,,,0.073044695,,,,,,0.039186966
71,0.06733193,0.033291955,0.0923722,0.03243789,,0.08130321,0.053625256,0.029388888,0.034964215,0.02500268,0.3740404,0.09367962,0.010535008,0.06254193
72,0.053779054,0.015862456,0.030518359,0.086149506,0.3077651,0.015118434,0.02725334,0.12993746,0.01733011,0.019054467,0.059307422,,0.021409523,0.20799953
73,0.011170301,0.032228865,0.019882921,0.024310736,0.65029114,0.012707958,0.012199925,0.119215496,0.026731072,0.013218089,0.03371651,,0.027993,0.011104453
74,0.01796979,0.02354751,0.02217678,0.024004115,0.21933445,0.05395001,0.048723053,0.11782943,0.08854231,0.088551715,0.07718713,0.014976465,0.0299851,0.17322214
75,0.07070542,0.045131292,0.03522807,0.024952885,0.017480688,0.032790877,0.1266711,0.26782426,0.05808849,0.036187146,0.030154424,0.017326593,0.072697654,0.16476107
76,0.025467094,0.014217172,0.13399109,0.04612966,0.021587323,0.08509304,0.04371441,0.3277002,0.015872592,0.04337436,0.09978342,0.037047915,0.06393386,0.04208783
77,,,,0.022782989,0.8448053,,,0.050004695,0.011407593,,0.031891055,,,
78,0.013162424,0.030206943,0.12454127,0.05188581,,0.1044209,0.02084133,0.02147606,0.023180097,0.039196502,0.3993488,0.13409004,0.016977336,0.014122915
79,0.0411141,0.047495764,0.09117303,0.032758884,0.23948696,0.08341804,0.07006647,0.16383472,0.021509053,0.028621655,0.030695701,0.020910934,0.058417782,0.07049695
80,0.015087541,0.011003004,0.024831474,0.079409696,0.22919944,0.021509558,0.0906612,0.19277896,0.044643313,0.016550107,0.10174841,0.038361106,0.018395565,0.115820654
81,0.020713264,0.010239164,0.01125006,0.12436913,0.3490885,0.021780295,0.08773983,0.10647299,0.012047024,0.036267895,0.059560336,0.026118752,0.022020586,0.11233215
82,0.048156463,0.016138691,0.05412199,0.06364013,0.11637017,0.021209164,0.063608855,0.18836778,0.031666692,0.06426892,0.18504381,0.010092908,0.07013578,0.067178614
83,0.011715915,,0.035792198,0.07586124,0.32168365,0.011186781,,0.31754786,0.015719952,0.011580482,0.03252698,0.04855998,0.016168574,0.08529889
84,0.041971903,0.010655502,0.017098717,0.08548425,0.17886053,0.022240842,0.019747613,0.097706914,0.018494695,0.016848564,0.16275176,0.0153492205,0.29144892,0.021340577
85,0.032485932,0.022926042,0.13871284,0.12026437,0.015810905,0.026551839,0.23186603,0.19175918,0.014938215,0.024549738,0.072157145,0.039315347,0.03495569,0.03370672
86,0.057387568,0.025578286,0.022263588,0.066423304,0.12489326,0.041876353,0.021610525,0.08175908,0.051422898,0.038685717,0.2820718,0.020463603,0.06564131,0.099922724
87,0.106673524,0.023969509,0.022691347,0.023622291,0.030818772,0.08714495,0.022479715,0.10796225,0.029925948,0.041061483,0.34324336,0.06982443,0.017771972,0.07281047
88,0.019721936,,0.09010245,0.048541866,0.30016306,0.026936464,0.025816035,0.21918096,0.039395526,0.020845765,0.038262013,,0.08233473,0.071468495
89,0.03709668,,0.11531664,0.06862112,0.18848705,0.0143065015,0.026558727,0.23053408,0.06350658,0.01423735,0.06355564,0.044585492,0.09252685,0.030747104
90,0.061032634,0.070037514,0.053121,0.04392946,0.013486566,0.10373782,0.1108709,0.10024316,0.021782245,0.048783973,0.24344131,0.06696815,0.01657083,0.045994457
91,0.13691796,,0.024709575,0.045304123,0.027630128,0.20152712,0.028560217,0.040243927,,0.05700314,0.2730562,0.055352025,0.010422657,0.08068962
92,0.025061803,0.010365785,0.17692414,0.067325644,0.013757758,0.04004445,0.055327825,0.17547068,0.010810397,0.13713937,0.0556687,0.08871565,0.039026,0.10436181
93,0.0648425,0.025568636,0.09461207,0.054930624,,0.13236606,,,0.035240702,,0.37649798,0.15746418,0.014240761,0.012424644
94,0.024822434,0.012159831,0.023095459,0.074412785,0.08485794,0.06506366,0.071112916,0.12321792,0.013522598,0.039380394,0.069640085,0.034496672,0.15343477,0.21078259
95,0.051670678,0.062764056,0.02507219,0.07001721,0.07921236,0.13207561,0.07730334,0.032265566,0.01887952,0.029962586,0.3181576,0.053800996,0.011691881,0.037126377
96,0.031904783,0.029311497,0.035137307,0.0921514,0.15128545,0.060151514,0.21217428,0.0747041,0.023017641,0.029516248,0.04124252,0.054674137,0.06892335,0.09580574
97,0.055755053,0.013746574,0.017825654,0.061568122,0.13513936,0.061169907,0.10725741,0.2738256,0.023555528,0.035197526,0.02172938,0.022171995,0.04749846,0.12355943
98,0.23136194,0.030874794,0.021385653,0.030547058,0.013157061,0.045118302,0.029127713,0.11058752,0.018375864,0.05723332,0.08293167,0.016289134,0.026855476,0.28615445
99,0.2383426,,,,0.35233074,,,0.28332293,0.023202665,,,0.042233907,0.012701758,0.010074969
100,0.06485461,0.022141276,0.057533238,0.020554679,0.23606654,0.03700885,0.04981457,0.29425582,0.018061778,0.026129058,0.040039405,0.011434738,0.03133209,0.090773314
101,0.15406524,0.014947712,0.012317683,0.10442088,0.034232117,0.015193737,0.13891394,0.23113425,0.01916918,0.012507911,0.10596698,0.010535924,0.096716344,0.04987813
102,,,,,,,,,,,,0.9722327,,
103,0.07366293,0.04460701,0.10877181,0.036434833,0.22610778,0.033324122,0.016125467,0.13231471,0.06539953,0.019536206,0.033943776,0.07123506,0.041503325,0.097033456
104,,,0.03183949,0.088387005,0.3242828,0.012083449,,0.17265336,0.025507677,0.010466959,0.0124718165,,0.2732474,0.02181659
105,0.092983134,,0.012071728,0.06173499,0.21941647,0.01758365,0.06939342,0.19331501,0.056466546,0.014977989,0.02675228,,0.021746404,0.19669418
106,0.049294334,0.012931773,0.09321772,0.029165724,0.1947679,0.027466841,0.035980117,0.3852328,0.030101296,0.029394291,0.015857153,,0.06519051,0.021671051
107,0.027760362,0.033750325,0.13629183,0.04817023,0.010511662,0.08517018,0.19285028,0.12999715,0.076524265,0.028240537,0.16019927,0.0141927665,0.02594765,0.03039351
108,0.016193971,,0.03669422,0.09115536,0.16455282,0.06302218,0.21261163,0.19558376,0.010529483,0.025795186,0.05049338,0.03296534,0.030879809,0.06006794
109,0.045670383,0.010440146,0.06575001,0.04306568,0.053731453,0.22074138,0.040638614,0.033391967,0.01748419,0.011025243,0.31199905,0.09112789,0.03869139,0.016242597
110,0.040097706,0.050610244,0.022679292,0.0716576,0.15260026,0.025312558,0.041268192,0.0553603,0.054994967,0.020273602,0.124267936,0.030465852,0.07459094,0.23582059
111,0.09875039,0.04602256,0.028491141,0.06756502,0.012260419,0.06357998,0.22782958,0.10620513,0.016925305,0.027946247,0.21250257,0.0316155,0.025143605,0.03516259
112,0.076020464,0.01223851,0.05885999,0.057820365,0.019525187,0.02473214,0.01044278,0.04605408,0.017107097,0.05347846,0.26560664,0.3233324,0.014297786,0.020484088
