topic,SBS3,SBS5,SBS6,SBS12,SBS22,SBS40,SBS57
0,,,,,0.9773949057516215,,
1,,,0.8021157491448331,,,,
2,,,,,,,0.9934407895715857
3,,0.8829572389820022,,0.8387993748073108,,,
4,0.8623931110165375,0.8682967700158198,,,,0.9632098641506603,
