document,0,1,2,3,4
151,,0.060316324,0.019567655,,0.9059662
152,0.015290611,,,0.03530158,0.9483263
153,0.024461523,,0.02295686,,0.95239246
154,0.021358948,,0.014726775,,0.9625876
155,0.028983872,0.048171937,0.01589132,0.026806198,0.8801466
156,0.052075364,0.025289796,,0.080467425,0.8330383
157,0.028339384,,0.030807493,0.10490717,0.8358926
158,0.04284379,,0.016283005,0.17524564,0.75607526
159,0.01432947,,0.04694019,0.061956663,0.87672406
160,0.037508003,,0.050119158,0.08373341,0.82857144
161,,0.25430864,,,0.7453947
162,0.018409962,0.020212565,0.04485574,0.10233627,0.8141855
163,0.047671784,0.15304086,,0.20045331,0.5986342
164,,0.051290907,0.048199367,,0.89239615
165,0.026306126,0.064558454,,0.16531657,0.74368095
166,,0.055483997,,,0.93599
167,,,,0.045143332,0.9455379
168,,,,,0.9964074
169,0.054857403,,0.021882337,0.07055777,0.85258
170,,,,0.042362645,0.9447061
171,,0.088892944,,,0.91082263
172,,,0.029091427,0.1047292,0.86607015
173,,,,0.065769225,0.93134266
174,,0.16121364,,,0.83276814
175,,0.015628949,,,0.9673374
176,,,,0.10402585,0.8880153
177,,0.052199632,0.031162469,0.034208674,0.8823341
178,0.04372112,0.12774472,,0.19598506,0.63244945
179,0.010809889,,0.022694875,0.019545637,0.9468786
180,,0.11178828,,0.02534931,0.862629
181,,,0.036482044,0.05848048,0.89539534
182,,0.040655542,,,0.93895376
183,0.019789115,,,,0.9731414
184,,0.2100638,,,0.78966826
185,0.024743723,,0.010726444,,0.96443534
186,0.03535928,0.101617746,,0.07081678,0.79214895
187,,0.08220132,0.018277049,,0.89940846
188,0.06188251,0.079842485,,0.08261703,0.7755909
189,,0.09089524,,,0.90895814
190,,0.110631116,0.023419783,,0.8657866
191,,0.034214742,,,0.9655261
192,0.03120736,,0.03424525,0.069848254,0.8646573
193,,0.07260923,0.024150686,0.019092338,0.88405055
194,0.018110408,,0.019203324,0.039795417,0.92280364
195,,,,0.10211484,0.8872527
196,,0.020505829,0.02476681,0.26685455,0.6839054
197,,0.047928054,0.035788827,0.07682511,0.83940375
198,,0.030219588,,,0.96702033
199,0.02065095,0.033696134,,,0.9454517
200,0.026956098,0.13325052,0.022591187,0.1066702,0.710532
201,,0.044545084,,,0.9552772
202,,0.028236924,,0.026852177,0.9447561
203,0.03427398,,0.07283269,0.08923021,0.80357003
204,0.033637416,,0.026201643,0.1136889,0.8252801
205,0.027932405,,0.046311907,0.06710609,0.85857284
206,,0.19080257,0.033331934,,0.7754058
207,0.020241082,0.06226125,0.015798545,0.06109081,0.84060836
208,0.015442607,0.022552475,0.04792696,0.068433724,0.84564424
209,0.025156464,,0.051850572,0.09729883,0.82271373
210,0.053145964,,0.016443519,0.11097724,0.81937444
211,,0.064191245,0.021214342,0.13021457,0.77902484
212,0.0412985,,0.025431,0.058405936,0.8747968
213,0.030866388,,0.01880868,0.09557881,0.85462844
214,,0.18632224,0.011039411,,0.8024919
215,,,,0.11218106,0.8790394
216,,,0.027089765,0.17189251,0.79337037
217,0.031192519,,0.041137975,0.04945921,0.87816286
218,,0.10205011,,0.2624053,0.635225
219,0.055510662,,0.032303214,0.15336199,0.75876594
220,0.03324634,,0.03594591,0.13999923,0.79077274
221,0.078846075,,0.0129015,0.16006722,0.7481164
222,,0.103411436,,,0.8964222
223,0.033889305,,0.010044777,0.12076374,0.8352364
224,0.056531873,0.07163124,0.035185687,0.224451,0.61220026
225,0.04873809,,0.0227188,0.09001546,0.8384559
