topic,SBS3,SBS5,SBS6,SBS12,SBS22,SBS40,SBS57
0,0.8367013726644862,,,,,0.8947468567533539,
1,0.8256143535046679,0.9278376346561066,,,,0.8488888790347575,
2,0.820864346380186,0.8223474526455514,,,,0.9501028796675675,
3,,0.8749288934160996,,0.8580565563554579,,,
4,0.8444566206815223,0.8262035073581283,,,,0.9262914411282733,
5,,,,,,,0.9677163693664784
6,0.8232187823654918,,,,,0.9184800031084897,
7,0.8681733655803713,,,,,0.826708905161553,
8,,,,,0.9820644933648716,,
9,,,,,,,
10,0.8681733655803713,,,,,0.826708905161553,
11,,,0.8100608347029631,,,,
