document,0,1,2,3,4,5,6,8,9,11
0,0.22762765,,,,,,,,0.13414642,0.61592543
1,,,,0.17431396,,,,,,0.8095395
2,0.48232263,,,,,,0.43264416,,,0.062249437
3,,0.17368342,,,0.33404055,,,0.04222805,0.12542285,0.30050215
4,0.5645361,,,,0.13959529,,,,0.16617434,0.10464089
5,,0.3878231,,0.07949203,,,0.50151485,,,
6,0.10351121,,0.5125881,,,,0.11003695,0.047704734,,0.20450246
7,,,,,0.6275668,,,,0.08123966,0.25979552
8,0.58319134,0.30071723,,,,,,,0.0883444,
9,0.58447146,0.09919287,,,,,,,0.10738758,0.1833742
10,,,,,,,,,0.9949151,
11,0.42840803,0.3089027,,,0.1714318,,,,,0.067059875
12,,0.8866802,,0.07897395,,,,,,
13,,0.21651952,,,0.3537008,,0.2644756,,0.14870776,
14,0.35657522,0.27765656,0.13810244,,,,,,0.20280801,
15,0.060010865,,,,,,0.7797762,0.028063744,0.12690146,
16,0.5074323,0.35060948,,,,,,,0.11586354,
17,,0.47919816,,,0.22161464,,0.12214469,,,0.1540144
18,0.37679866,0.32368746,,,0.09580304,,,,0.18155615,
19,,0.2910045,,,0.10906956,,0.47086924,,0.10148218,
20,,0.7995556,,,,,,,0.1656427,
21,,0.101331666,,0.11248462,,,,,0.018703466,0.76361185
22,,0.36913577,,0.15451844,0.34061825,,,,,0.111740895
23,,0.41260812,0.44665018,,,,,,,0.112812005
24,,0.20167117,,,0.37269935,,0.1844708,0.029166868,,0.18895233
25,,0.30980188,,,0.38674888,,0.17615086,,0.10465953,
26,0.45070973,0.3298453,,,,,0.1074727,,,0.08547479
27,0.46979755,0.4952802,,,,,,,,
28,,0.43333024,,,0.21944898,,0.21146578,,0.11351491,
29,,0.39931676,,0.42052528,,,,,0.04690991,0.108333714
30,0.56057423,0.10063704,0.06425348,,,0.04768241,0.21050066,,,
31,,0.32988513,,0.19386324,,,,0.02305648,0.42758465,
32,0.075280905,,,,0.28115892,,,,0.20803112,0.41022357
33,,0.6019949,,,,,0.15519316,0.04483679,0.17405307,
34,,0.96311086,,,,,,,,
35,0.15546145,0.41988596,,,,,,,0.27938914,0.121074386
36,,0.33760166,,0.20335342,,,0.22435358,0.034152444,0.17909108,
37,0.17946519,0.61420244,,,,,,,0.073869206,0.1073774
38,,0.39458495,,0.29126915,,,0.14396876,,0.14435215,
39,0.05532343,0.26055756,0.22540823,,0.2440912,,,,0.09915787,0.09812094
40,,0.6768685,,,0.080830745,,0.09337405,0.054942373,0.07714528,
41,0.341586,0.18674108,,,,,,,0.27471694,0.17354374
42,0.3971952,0.3548478,,,,,,,,0.21884614
43,0.26280034,0.09139776,0.09640892,,,0.23580499,0.14699002,,,0.16619825
44,0.034856226,0.043396164,0.16733831,0.019248744,0.075914234,0.18998536,0.44069505,,,0.016317196
45,0.028268075,0.1289935,0.21816002,0.08090908,0.09498645,0.35877475,0.049361017,0.010029757,0.025866518,
46,,0.3073361,,,,0.44141674,0.18377206,0.018975927,,0.0471799
47,,,,,,0.94718593,,,,0.045255203
48,,,,,,0.98088497,,,0.014287778,
49,,0.20448105,,0.11969967,0.13986155,0.2540329,0.18937267,0.091304906,,
50,,0.3191402,,0.103012785,0.2018488,0.08722675,0.2869896,,,
51,,0.26303396,0.042307798,0.09300485,0.23666735,0.36169273,,,,
52,0.108705975,0.10668435,,0.09042823,0.19444586,0.10976154,0.05495465,0.30479965,0.024729094,
53,0.015116329,,,,,,0.15169162,0.8328184,,
54,0.16554366,0.15674597,0.18580765,,0.04612077,0.04671959,0.30484432,,0.018447846,0.07546419
55,,0.17448038,,,,0.19412011,0.56935763,0.013773459,0.043018516,
56,,,,0.023929015,,0.9701245,,,,
57,0.053098727,0.15598264,0.24793717,0.07923992,0.053575873,0.34781772,0.026563864,0.014776164,0.020411368,
58,0.06981498,0.049903404,0.112994336,0.037806123,0.17016016,0.15144093,,0.4073368,,
59,0.038769227,,,0.034058217,0.048102014,0.029061893,0.19560568,0.6539963,,
60,0.052838195,0.020649837,0.038757097,0.019840492,0.09121249,0.028508822,0.17778511,0.56471777,,
61,0.024817156,,0.26371384,0.028634634,0.34624428,0.1318667,0.19688609,,,
62,0.1265648,0.15019374,0.05580988,0.018967792,0.011361212,0.19271058,0.37262428,,0.026779225,0.035852917
63,0.032045525,0.08726682,0.17796066,,0.024217676,0.33889672,0.2834242,0.02544918,,0.030287042
64,0.10088057,0.046094965,0.10238061,0.01774926,0.21241173,0.027113365,0.48926434,,,
