document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0118297385,0.021400923,,0.021241652,0.026482772,0.024237463,,0.014751609,,0.76775086,,,0.013872809,0.079863645
1,,0.030833853,0.0116703315,0.022882491,0.023672275,0.020617848,,0.01266419,0.7409433,0.040952764,0.011899061,0.032642536,0.010264709,0.029758742
2,0.0166267,0.0362971,0.017998965,0.010565335,,0.0142987305,0.05362217,0.011499789,0.71336085,0.023698099,0.040014952,0.015580013,,0.028462801
3,,0.02588774,0.12470813,0.014947542,0.019833617,0.020914901,0.080584615,0.011826622,0.5815414,0.038614344,0.019450357,,0.010515513,0.0337932
4,0.026397001,0.03105978,,0.01826845,0.02143675,,,0.011898188,0.6749835,0.041459687,0.060440797,0.021725057,0.031125693,0.044721358
5,,0.15597503,,0.017952098,0.026614234,0.025495365,0.023060363,0.044724923,0.19407064,0.042332087,0.18828744,0.114437796,0.0124972565,0.13968462
6,0.040949088,0.02930642,0.052118696,0.024294054,0.018816013,0.01508064,0.16845818,0.021869974,0.012599144,0.049317922,0.042623147,0.037966147,0.024442816,0.4621578
7,0.18263663,0.041355044,0.013517768,0.043288276,0.028970188,0.09090348,0.022973988,0.032043576,0.015698422,0.028105583,0.21513744,0.02898966,0.17590514,0.080474816
8,0.016991159,0.2907116,0.0155690275,0.019545672,0.032888707,0.119328156,0.022522243,0.027219413,0.0128750745,0.050076578,0.012819683,0.031265017,0.025496662,0.32269102
9,0.27117658,0.041920654,0.01077011,0.19925341,0.016477916,0.032153793,0.06074663,0.022370521,0.019709568,0.01753542,0.18124163,0.050276056,0.040098265,0.036269434
10,,,0.5367037,,0.011127724,,0.35988554,,,0.028335264,0.015046014,,,
11,,0.013732596,0.54563105,,0.011787553,,0.30731416,,,0.047979802,,,,0.029709807
12,0.0761369,0.026905995,0.017239053,0.024895202,0.016496886,0.016008673,0.13197698,0.028779441,0.024724064,0.1084463,0.06482559,0.14561246,0.12515035,0.1928021
13,0.04949112,0.041724566,0.15453109,0.081701025,0.01548231,0.06896186,0.0405296,0.045327768,0.015270231,0.10965209,0.12686998,0.015965024,0.018978752,0.2155146
14,0.08038883,,0.020995641,0.18345827,0.047417957,0.14651908,0.014407531,0.023258355,,0.043334704,0.34250072,0.017522285,0.015908325,0.051588878
15,0.06873484,0.056043785,0.035230286,0.03857768,0.017724626,0.07468683,0.05710132,0.049251094,0.011659363,0.069061264,0.33049816,0.03989884,0.09041722,0.061114635
16,0.042318773,0.043215424,0.017475752,0.0344907,0.07415192,0.01745283,0.016978119,0.094617836,0.043353636,0.041963514,0.08456876,0.18104355,0.15486291,0.1535063
17,0.14041214,0.02429977,0.020445576,0.08168534,0.012140633,0.13727094,0.013442379,0.03982772,0.03436858,0.04988343,0.35431138,0.039906576,0.0336107,0.018394828
18,0.049084265,0.014775575,0.063234694,0.096935034,0.11594446,0.078991264,0.0709339,0.04762672,0.019757569,0.08593919,0.15644346,0.05497051,0.040289,0.105074376
19,0.19067025,0.017126482,0.022922954,0.070860855,0.017424183,0.10148021,0.021013744,0.037503175,0.03474704,0.025237225,0.3411444,0.049891382,0.019219462,0.050758604
20,0.025833141,0.03394176,0.022397893,0.028138123,0.043292478,0.03337028,0.033817105,0.028932001,0.033089038,0.015986111,0.4413152,0.065419264,0.14827909,0.046188504
21,0.019302228,0.015126229,0.017807808,0.023307398,0.01692454,0.037759546,0.03758643,0.015469474,0.031901244,0.05848505,0.06132276,0.13550298,0.017263653,0.51224065
22,0.011112602,,0.046401758,0.01279351,0.0356141,0.02988804,0.13942921,,0.012514344,0.012144723,0.19722976,,0.010291419,0.46949697
23,,,0.5155602,,,,0.26348853,,,0.053217147,0.011212149,,,0.11230876
24,0.09647887,0.055132132,0.015584907,0.16330343,0.040010612,0.06915413,0.025170123,0.06730148,,0.04929829,0.32473972,0.034866493,0.040723864,0.010550591
25,0.0681736,0.019601505,,0.09363255,0.106139906,0.056898136,0.010113482,0.060977787,,0.06049722,0.40105096,0.043650974,0.037557915,0.023950798
26,,,0.50629646,,0.014778614,0.012986407,0.13963097,0.017091438,,0.119893976,0.011525793,0.011954506,,0.12628709
27,0.010668339,0.017454324,0.042612556,0.041760076,0.023468444,,0.0140503235,0.01891289,0.48382306,0.26992682,0.048697595,,,
28,,0.31822044,,,0.027946424,0.0631684,,,0.05222671,0.010012859,,0.012583285,,0.48129147
29,,0.06963804,,0.012377735,0.029541735,0.010937431,0.04279296,0.010130962,0.46875662,0.041510478,0.14595261,0.03401356,0.037497755,0.08040667
30,0.057062168,0.03746358,0.058301974,0.016548201,0.017754225,,0.07903485,,0.5660973,0.021225408,0.018448692,0.017359922,0.018607022,0.07576615
31,0.020137211,0.036625978,,0.019927999,,0.026413435,0.019634882,0.0140432855,0.591414,0.021705952,0.10827216,0.030686531,0.05414357,0.04249692
32,0.07693078,0.036417954,0.044124402,0.057938356,0.01810626,0.04932968,0.04188404,0.013655024,0.3908483,,0.19229269,0.030473882,0.022602987,0.01672361
33,,0.03925918,0.018372566,0.016881691,0.022366662,0.010012949,0.053420383,0.038969364,0.5911764,0.023766637,0.044350065,0.03514393,,0.09181995
34,,0.032765586,0.04556702,0.010659448,0.036940567,0.034023475,0.014867017,0.06498809,0.57577515,0.0436706,0.06197191,0.015868085,0.01787942,0.035499457
35,0.018253257,0.03271401,0.0275648,0.023841819,0.024254933,0.016991993,0.031504083,0.014611271,0.54220706,0.034481157,0.081505716,0.056387167,0.052845426,0.04283728
36,0.025264386,0.048656043,0.0771134,0.044899568,0.017336939,0.016202573,0.05914917,0.018758575,0.577367,0.022028305,0.04762937,0.017422302,,0.018413857
37,,,,,0.015238628,,,0.010283221,0.017734671,0.33503112,,0.013329797,,0.549152
38,0.012100335,0.011909732,0.2792475,0.017385308,0.012004231,0.02103367,0.30178174,0.03315331,,0.11883337,0.01700086,,0.011631011,0.1474783
39,0.010047722,,,,,,,,0.017148308,0.2806799,0.014852475,0.011860293,0.010603199,0.5948514
40,0.012018286,,0.24372321,0.019177636,0.020124193,0.035649233,0.25628737,0.018946601,,0.14401196,0.015857436,,,0.20026863
41,,0.01913847,,0.045841046,0.013184292,,0.029592494,0.047618832,0.6898696,,0.020441946,0.037450977,0.0118306875,0.05060596
42,,0.035646565,0.013586635,0.013837757,0.013732077,0.012698098,0.023768766,0.04046014,0.62164396,0.03565762,0.05196044,0.03748428,0.019643197,0.0723678
43,0.01794965,0.039818317,0.021200737,0.029146835,0.03522842,0.011276889,0.04047386,0.06259893,0.49735373,0.039585505,0.06573293,0.042586125,0.036519393,0.060528655
