topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS16,SBS25,SBS38,SBS40,SBS43,SBS45
0,,,0.8603284931321497,,,,,,0.8163386568973275,,,0.8084208071982801,,0.8612853233644796,,
1,,,,,,,,,,,,,,,,
2,,0.8047012554314364,,,,,,,,,,,,,,
3,,,,0.8683886119921113,,,,,,,,,,0.840884782731116,,
4,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,0.9082641844612935,,,0.9443604915348308
6,,,,,,,,,,0.9370089098213833,,,,,,
7,,,,,,,,,,,,,,0.9004178400897438,,
8,,,,,,,,,,,,,,,0.8591312301831672,
9,,,,,,,0.8645916539619011,0.9637966998037143,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,0.8582188234209048,,,,,
12,,,,,0.8459105324301843,,,,,,,,,0.8418432918737522,,
13,0.9064113209097763,,,,,0.8439350284537623,,,,,,,,,,
