document,0,1,2,3,4,5,6,7,8,9,10
0,0.6450142,,,0.017790878,,0.0156187145,,,0.3188083,,
1,,0.11769965,0.06751688,0.09040416,,0.036384705,0.07437748,,0.5959329,,
2,,,0.14398603,0.06261104,0.029582372,0.14046371,,0.18250552,0.40487453,,0.025070334
3,0.46497303,,,,,0.014900882,,,0.5163933,,
4,,0.6070313,0.03688704,0.052545317,0.022447089,,,,0.13137466,0.13924946,
5,0.5832028,,,,0.0144591285,,,,0.3364971,0.061163258,
6,,0.2981683,0.097810805,0.099656634,,0.082479894,,,0.39883998,,
7,,,,0.017657733,,0.35346392,,,0.2663678,0.3462753,
8,,,0.22458217,0.1339803,,0.05175419,,0.13660327,0.35971436,,0.0822992
9,,,0.057207953,,0.036059354,0.24347988,,,0.10459004,0.552447,
10,,,0.2759126,0.16948092,0.01070169,0.14294651,,,0.22323003,,0.16702957
11,,,0.072404265,,,0.24398284,0.030614723,,0.16104838,0.4781128,
12,,,0.104627125,0.07492969,,0.21252784,0.037719436,,0.4349444,,0.125312
13,,,,,,0.3124342,0.03773318,,0.2799497,0.35373724,
14,,,0.14491796,0.14877112,,0.05949915,0.020137822,,0.518983,,0.097058624
15,,,0.10125896,0.08211921,,0.11967119,,,0.4731751,0.1982099,0.013267837
16,,,,,0.012799646,0.09889102,0.18053855,0.100839116,0.44021425,,0.14806645
17,,,0.1895835,0.07901956,,0.018086657,,0.11950459,0.51494485,,0.05927276
18,0.056347035,,,0.080230646,,0.24027373,0.0408743,,0.28078794,,0.28512353
19,,,,0.11777469,,0.17105255,,0.052683927,0.49944192,0.14110036,
20,,,0.1376298,0.07301888,,0.05118437,0.06677293,,0.31678623,,0.34405026
21,,,0.17560692,0.14347763,,0.14762849,0.035615917,,0.48466963,,
22,,,0.18542832,0.14260091,0.034606144,,0.08910461,0.06557929,0.35207313,0.11709895,
23,,,0.25575247,,,0.15362258,0.18384324,,0.13140994,,0.2592184
24,,,0.06394067,0.19199707,,,0.07941395,,0.54480433,0.10337166,
25,,,0.21142225,,,0.052055914,0.035342056,,0.41561094,0.08832924,0.18740012
26,,,0.10685401,0.1333652,,,,,0.5685303,0.16345449,
27,0.27915925,,0.101278655,,,,0.010583911,0.06664969,0.4585851,0.07065476,
28,0.12067057,,0.38415322,,0.04430389,,0.23766965,,0.159958,0.045308657,
29,,0.12526745,0.0490949,,,0.061585654,,0.06878093,0.68360287,,
30,,,0.17814131,,,,0.1877632,,0.3558939,0.030433033,0.23282348
31,,,0.0737817,0.119160175,,,,,0.41500318,0.13681412,0.23395565
32,,,0.10149671,,0.035989773,0.06277023,0.07530033,,0.39418218,,0.3151762
33,,,0.15925343,0.35691723,0.034316923,0.1351602,0.019265635,,0.27812582,,
34,0.051840287,,0.075927556,,,0.13081703,0.080506206,,0.1043797,0.54782534,
35,0.48763642,,0.11248777,,,,,,0.37359107,0.01371117,
36,,,0.25276908,0.10495384,,0.11106205,,0.100779906,0.35351667,,0.060861487
37,,,,,0.011320588,0.10945783,0.055158034,0.14944091,0.41756546,,0.241795
38,,,0.20360972,,,,,,0.37750515,0.28032383,0.11839985
39,,,0.09575339,,0.023843994,0.22512653,0.062564686,,0.32391003,0.023514906,0.23838301
40,0.07947768,,0.09628545,0.036964912,,,,,0.36106113,0.4167889,
