topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS17b,SBS18,SBS36,SBS40
0,,,,,0.8327870261315,,,,
1,,,0.8469645986471346,0.8351838656676462,,,,,0.9000893450315247
2,,,0.8777338077475114,0.8159975361377737,,,,,
3,,0.8330852267943937,,,,,,,
4,,,,,,,,,
5,,,,,,0.9876054735520424,,,
6,,,,,,,,,
7,,,,,,,0.9585675173705199,0.9002972781456589,
8,0.9473401245838579,,,,0.8669559351797957,,,,
9,,,,,,0.8843438641128655,,,
10,,,,,,,,,
11,,,0.8677219933280556,,,,,,0.8269927069086682
