topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS17b,SBS18,SBS29,SBS36,SBS40
0,,,,,0.8428139485849945,,,,,
1,,,,,,,,,,
2,,,,,,0.8774348369141691,,,,
3,,,,,,,,,,
4,0.9386235223882287,,,,0.8757254633711008,,,,,
5,,,,,,,0.9841501949636419,0.8110552008892747,0.924214671428661,
6,,,,,,,,,,
7,,,,0.8144147706815832,,,,,,0.8288116292227223
8,,,,,,0.9887693917219953,,,,
9,,0.9585676196123387,,,,,,,,
10,,,0.9045115629222896,0.8749564889817171,,,,,,0.879455928880837
11,,,0.8687331040311338,,,,,,,0.8273591726493589
