document,0,1,2,3,4,5,6,7,8,9,10
78,0.14383492,0.15748943,,0.055313677,0.3440645,,,,,0.07468711,0.20851809
79,,,0.118408464,0.064838536,0.6390368,,,,0.07423446,0.090274066,
80,,0.099672295,,0.1366953,0.49497566,0.14943148,,,,,0.10166126
81,,0.08703661,0.07460812,,0.54317445,0.1414061,,,0.07102439,0.072035246,
82,0.07185115,0.082413636,0.17373013,0.065611616,0.47828633,0.04279037,,,,0.075771615,
83,,0.27281427,,0.027925516,0.43409348,0.21216507,,,0.041084707,,
84,,0.0677221,,0.10931101,0.5775064,,0.15362659,,,0.075091094,
85,0.23034362,0.19727612,0.15108757,0.08380336,0.22732937,,,0.09544649,,,
86,,0.11385515,0.030171847,,0.64325523,0.08063723,,0.1205559,,,
87,,0.049627006,0.41277844,0.043055758,0.4789952,,,,,,
88,,0.09602141,0.2752161,,0.23213889,0.11206369,,0.09496008,0.1769667,,
89,0.06099167,,0.3283762,0.024251215,0.5722366,,,,,,
90,,0.14205039,0.20366472,,0.45598063,0.06921516,0.08341881,,,0.03249321,
91,,0.13342564,,0.14752033,0.32987657,0.1881249,,,,,0.17731804
92,,,0.82866013,,0.1623534,,,,,,
93,0.12102087,0.1814385,,0.03993456,0.40206525,0.17493482,,,0.02023771,0.045377135,
94,0.20434359,0.26764134,,,0.29029977,,,,0.09120145,0.12968376,
95,,0.059202224,0.07089004,,0.5691177,0.10772402,,,,0.060217574,0.11737041
96,0.11481655,0.06999776,0.15197825,,0.40648636,0.07918026,,,0.10345703,0.0661521,
97,0.096479245,,0.08477814,,0.58814067,0.10390806,,,,,0.11051647
98,,,0.1404497,,0.60231084,0.13176718,,,,,0.09606053
99,0.06281305,0.075256385,,0.16829687,0.35639083,0.064004235,,0.13185906,0.08297691,0.052667838,
100,,0.19710034,0.10359286,0.09820246,0.2384847,0.03673908,,0.120835125,0.09217887,0.10750586,
101,,0.071955994,0.11463896,0.059819795,0.3947549,0.05176143,,0.101201795,0.14802733,0.048610177,
102,,,0.16826043,,0.32063416,0.16009305,,,,,0.32443684
103,,,0.4023283,0.018755937,0.44850788,0.06447009,,0.05728875,,,
104,0.06648296,0.04299764,0.03574947,0.05356742,0.74723816,,,,,0.035247717,
105,,,,0.0361696,0.5036213,0.20185964,,,0.06285529,0.07884512,0.10409838
106,,0.13045329,0.35731477,,0.24510619,,,,0.25163996,,
107,,0.17842197,,0.10053614,0.47747836,0.058880165,,0.08737565,0.07823176,,
108,,,,0.061477132,0.3506117,,,0.45424914,0.113310516,,
109,,0.055174608,,,0.7295353,0.058561776,,,0.08250784,0.056630068,
110,0.20361905,0.045524303,,,0.69802076,0.03675772,,,,,
111,0.07260332,0.09175297,0.122535564,0.060959134,0.50149757,0.14041662,,,,,
112,,0.15642954,0.11930449,0.09582714,0.548286,0.060780462,,,,,
113,,0.060264435,0.26391175,,0.44712752,0.1549087,0.052963194,,,,
114,0.17414951,0.032708794,0.31989318,0.06679012,0.18395892,0.032503784,,0.17589143,,,
