topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS16,SBS18,SBS38,SBS40,SBS43,SBS45
0,,,0.8467413759937599,0.8676774004732567,,,,,0.822203759990536,,,,,0.8645254254486592,,
1,,,,,0.8482044262795019,,,,,,0.8078279887483563,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,0.8190794559061771,,,,
4,,,,,,,,,,,,,,,0.8534710026842547,
5,,0.8027672826256216,,,,,,,,,,,,,,
6,,,,,,,,,,0.9574955398832861,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,,,,,,,0.8438928432480197,0.977149397836376,,,,,,,,
11,,,,,,,,,,,,,,0.8275450694024802,,
12,,,,,,,,,,,,,0.902275275168911,,,0.9438940609473134
13,0.9187222230996017,,,,,0.9155844490168533,,,,,,,,,,
