document,0,1,2,3
151,,0.8486193,0.14683281,
152,,0.7778331,0.21847375,
153,,0.4832261,0.35549867,0.15917559
154,,0.33451775,0.66012734,
155,,0.35551345,0.63908017,
156,0.031439815,0.35698652,0.6087993,
157,,0.3307219,0.6622891,
158,,0.7497532,0.24381775,
159,,0.7017459,0.24191359,0.05428249
160,,0.7081551,0.2858792,
161,0.026234219,0.3820197,0.58843166,
162,0.014121134,0.8078519,0.17558452,
163,,0.9395917,0.0559955,
164,,0.62639403,0.36722448,
165,,0.20751697,0.63820934,0.15196954
166,,0.09146623,0.77210206,0.13420476
167,,0.9940419,,
168,,0.2661388,0.6867905,0.04370906
169,,0.64724106,0.346074,
170,,0.3840825,0.6084846,
171,,0.2044817,0.7330636,0.060600456
172,0.021986984,0.17900833,0.45968142,0.33932325
173,,0.829799,0.16750446,
174,,0.06478232,0.41985607,0.5122121
175,,0.87645024,0.11642991,
176,,0.7954383,0.20158695,
177,,0.38208142,0.5505087,0.06335976
178,,0.33506733,0.51136494,0.15086262
179,,0.56090313,0.43323144,
180,0.019273708,0.5007774,0.47729284,
181,,0.28782937,0.4935631,0.21551844
182,,0.88737696,0.08106374,0.029617071
183,,0.5341803,0.4599306,
184,,0.32698804,0.6678436,
185,,0.99252456,,
186,,0.5648733,0.40349394,0.028865835
187,,0.2984888,0.6953644,
188,,0.9941081,,
189,,0.7440946,0.24993914,
190,,0.67077816,0.32458,
191,,0.8564514,0.14050972,
192,,0.7374571,0.2565362,
193,,0.9075186,0.08696282,
194,,0.5691957,0.2498208,0.17853972
195,,0.59665614,0.2691166,0.1315021
196,,0.10621007,0.79964024,0.09036889
197,,0.22579347,0.5142807,0.2576706
198,,0.36385635,0.5518705,0.08135223
199,0.041110657,0.18689598,0.7684328,
200,,0.0564335,0.89385295,0.04787956
201,,0.32825163,0.31213403,0.357419
202,,0.6162051,0.34305966,0.037800882
203,,0.882282,0.11425401,
204,,0.52497244,0.4688085,
205,,0.57558733,0.41803285,
206,,0.2810921,0.6593306,0.056439094
207,,0.4718617,0.36848447,0.15691975
208,,0.39062175,0.60405815,
209,0.02673391,0.26332587,0.48000878,0.22993149
210,,0.20696843,0.54585963,0.24366565
211,,,0.903394,0.090785824
212,,0.99491686,,
213,,0.38901442,0.473774,0.1342947
214,,0.7283399,0.26843986,
215,0.029178657,0.32349545,0.57999504,0.067330845
216,,0.8479889,0.14572121,
217,,0.48817196,0.5048762,
218,,0.34846115,0.6465791,
219,0.014969336,0.10187508,0.72846156,0.15469399
220,,0.84120405,0.15579213,
221,,0.45065922,0.4526226,0.09404592
222,,0.43282026,0.51305395,0.052374505
223,,0.18657227,0.75940055,0.051387962
224,,0.10693617,0.7751381,0.115251616
225,,0.09164243,0.6681564,0.23717764
226,,0.72918344,0.26388973,
227,,0.3697296,0.5530323,0.07508988
228,,0.10481168,0.7017035,0.19088092
229,,0.55896175,0.3212526,0.116600834
230,,0.37038454,0.6244684,
231,,0.5852048,0.32683578,0.08651634
232,,0.87318766,0.1232451,
233,,0.43359742,0.55968124,
234,,0.65046436,0.34428218,
235,,0.44832397,0.5462104,
236,,0.14800051,0.8466387,
237,,0.83372283,0.16357592,
238,0.028165735,0.123009376,0.74712723,0.101697646
239,,0.5903186,0.40422076,
240,,0.11360615,0.83886665,0.04429877
241,,0.15964277,0.8347551,
242,,0.28374496,0.7084581,
243,,0.3030419,0.58933705,0.10443707
244,,0.6575011,0.3368857,
245,,0.186669,0.8089832,
246,0.057756208,0.71572167,0.22414012,
