topic,SBS1,SBS2,SBS6,SBS17b,SBS18,SBS36
0,,,,0.926522215342875,,
1,,0.8108627366858238,,,,
2,0.8515707753520575,,0.8832292940453857,,,
3,,,,,0.9646487283475473,0.8985964594640358
