document,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,,,0.13594787,0.45262304,0.31037208,,,,,,0.086369775,,,
1,,,,0.39355433,0.4442007,,,0.072965086,,,0.07425987,,,
2,,,0.2548007,,0.023578186,,,,0.23905037,0.35324493,0.099200755,,,
3,,,,0.2745935,0.23744328,,,,,,0.29098102,,,0.16763803
4,,,,0.076126784,0.85221624,,,0.025042761,,,0.02128262,,,
5,,,0.8596893,,,,,0.1059089,,,,,,
6,,,,,,,,,,,0.81248385,0.16724095,,
7,,,0.11425087,,,,,,,,0.17773578,0.6755136,,
8,,,0.12771273,0.0824521,0.10172256,,,,,0.18309027,0.5001486,,,
9,0.035511967,,0.10236779,,,,,,,0.116780825,0.5059671,0.013335499,0.22516902,
10,0.020533988,,,,0.019327074,,,,,0.3657021,0.27607974,,0.30045813,
11,0.04507256,,0.14951359,,,,,,,0.15840612,0.38879776,0.013788958,0.24154912,
12,,,,0.25558034,0.64447975,,,0.016322497,,,0.07779958,,,
13,,,,0.18433467,0.72290397,,,0.010717471,,,0.07515293,,,
14,,,0.13495679,,0.3091511,0.033979576,,,,0.23750713,0.20854343,0.047558583,,
15,,,0.03721535,0.44633412,0.3465486,,,0.097023785,,,0.06886561,,,
16,0.026655024,,,0.08396194,0.7265127,,,0.045203127,,0.014338501,0.09303364,,,
17,,,0.20980301,0.14602393,0.39742044,,,0.14438337,,,0.07994765,,,
18,,,,0.50973916,0.3650803,,,0.052074146,,,0.060159102,,,
19,0.020164844,,0.07190847,,,,,0.22269115,0.28539854,0.038934484,0.04664698,,,0.30705053
20,,,0.24228394,,,0.012770549,,0.29075903,,,0.096992895,,,0.3253174
21,,,0.066133976,0.3360076,0.33372787,,,0.0745121,,,0.17211536,,,
22,,,,0.43810776,0.31764936,,,0.019693295,,,0.20033252,,,
23,,,,0.2523546,0.5596597,,,0.09228137,,,0.0403032,,,0.040108055
24,,,,,0.36357886,,,0.1298481,,,0.40351334,,,0.07509896
25,,,,0.21886197,0.5993771,,,0.061426137,,,0.10354992,,,
26,,,0.7522557,,,,,0.05324716,,0.11100865,,0.05106512,,
27,,,0.17596903,0.50041485,0.15745796,,,,,,0.15453652,,,
28,,,,0.33951974,0.43168387,,,,,,0.20628837,,,
29,,,0.37472948,,0.034099307,,,0.039976418,0.33687,,0.07588419,0.124819465,,
30,0.073551305,,,0.3795706,0.12827921,,,,,0.18865693,0.1992385,,,
31,,,0.31755763,,,0.0336776,,0.048194237,0.14763531,,0.37123597,0.054268423,,
32,,,,0.45416066,0.50278705,,,,,,0.03079839,,,
33,,,,0.15545736,0.17986487,,,,0.2522029,,0.3812271,,,
34,,,,0.061972897,0.052224845,,,0.80948937,,,,,,0.06806859
35,,,0.7731273,0.11181972,,,,,,,0.08347977,,,
36,0.07864181,,,0.070068896,0.044799753,,,0.17584737,0.31580728,,0.28921485,,,
37,,,0.28397465,,0.023533126,,,0.11076428,0.34397262,,0.074428536,,,0.14854547
38,,0.092547856,,0.3273164,0.21277313,,,0.06683643,,,0.27998248,,,
39,,,0.581941,0.042577233,0.09952797,,,,,,,0.12901674,,0.12569267
40,,,0.1434933,0.09721468,0.4008457,,,0.05308155,,0.066151366,0.22750026,,,
41,0.026816372,,0.67053014,,,0.030884586,,,0.047506027,,0.21181062,,,
42,0.119800456,,0.14928366,,0.18126088,0.027546253,,0.13678868,0.1236202,0.1852543,,0.0645613,,
43,,,0.4676428,,0.046031274,,,0.119021244,0.20851538,,0.08511167,0.054366264,,
44,,,,0.19533588,0.63703567,,,0.032235097,,,0.12378805,,,
45,0.06732679,,0.28268895,,,,,0.16496076,,0.036553074,0.12294119,,,0.3143819
46,,,,,,0.07028618,,,0.15426481,0.2261939,0.11373771,,,0.40439782
47,,,0.3170963,,,,,0.2363982,0.23089519,0.06091693,0.04638499,0.09215306,,
48,0.04377648,,0.22032927,,,0.051888805,,0.16072327,,0.38266987,,0.112324774,,
49,0.04603821,,0.48555765,,,0.022911353,,,,,0.34469572,0.0818976,,
50,,,0.24656025,0.07399483,0.1959854,0.022550004,,0.08938463,,,0.3525522,,,
51,,,,,0.70816,,,,,0.18963961,,0.025198322,,0.055814587
52,,,0.6483056,0.082794696,,,,,0.052542835,0.060551357,0.10688284,,0.039868295,
53,,,,,0.5520406,0.014399245,,0.13042024,,,0.2775462,,,
54,0.029430412,,,0.33434612,0.43073606,,,0.11478667,,,0.07533839,,,
55,,,0.4755094,0.08565226,,,,,,,0.09874584,,,0.3117792
56,,,,,0.0799634,,,0.09314432,0.32892978,0.23622748,0.032894112,0.031948235,,0.17975564
57,,,,0.5267616,0.34656152,,,,,0.08229928,0.025571756,,,
58,0.18635169,,0.36823243,,,,,0.2638177,,,0.06604873,0.03490167,,0.06451343
59,0.05032374,,0.15708274,0.2441074,0.13698313,,,,,,0.38044092,,,
