topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS8,SBS12,SBS13,SBS17b,SBS18,SBS26,SBS36,SBS39,SBS40,SBS43,SBS44
0,,,,,,,,,,,,,,,0.811902591421146,
1,,,,,,,,,,,,,,,,
2,,,0.8230079405409498,,,,,,,,,,0.8695807610666015,,,
3,,,,,,,,0.9058619716534875,,,,,,,,
4,,0.9319342058788697,,,,,,,,,,,,,,
5,,,,,,,,,0.9545399911027319,,,,,,,
6,,,,,,,,,,,,,,0.8126005537944327,,
7,,,,,,,,,,0.8637834967697088,,0.8184011333591354,,,,
8,,,0.9345575337234661,,,,,,,,,,0.8247227365956679,0.8754526682243704,,
9,,,,0.892714692560431,,,,,,,,,,0.816713262899101,,
10,0.9614262514623335,,,,0.8503259970553414,,,,,,,,,,,
11,,,,,,,,,,,,,,,,0.9604504509788796
12,,,,,,,0.922288018593795,,,,0.9484022508938301,,,,,
13,,,0.8820002401919909,,,0.8839724209613085,,,,,,,,0.9012245763761124,,
