topic,SBS1,SBS2,SBS3,SBS5,SBS6,SBS17a,SBS17b,SBS18,SBS36,SBS40
0,0.9055657940362946,,,,0.8656928872546376,,,,,
1,,,,,0.8642029948469891,,,,,
2,,0.9434679474878707,,,,,,,,
3,,,0.9203622052059207,0.8848919656596504,,,,,,0.9283550736088043
4,,,,,,,,,,
5,,,0.8677751097957394,,,,,,,0.8253538102997738
6,,,,,,,,0.9613901589996413,0.8971378974795301,
7,,,,,,,0.9544627773640355,,,
8,,,,,,,,,,
9,,,,,,0.8329517981033897,,,,
10,,,0.8677751097957394,,,,,,,0.8253538102997738
11,,,,,,,0.9545908566663757,,,
