topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS13,SBS18,SBS36,SBS38,SBS40,SBS43,SBS45
0,,,,,,,,,,,,,,,,
1,,,,,,0.8027952130303003,,,,,,,,,,
2,,,,,,,,,,0.9664032753111949,,,,,,
3,,,,,,,0.8448254343970472,0.9745643261571273,,,,,,,,
4,,0.8386432199920538,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,
7,,,0.8025970805216354,,0.8537938602922994,,,,,,,,,0.8816429709469665,,
8,,,,,,,,,,,,,,,,
9,0.8745053807852462,,,,,,,,,,,,,,,
10,,,0.8345860778727994,0.8895223860273691,,,,,0.8230225671650995,,,,,0.8567364056541024,,
11,,,,,,,,,,,0.9307496347070189,0.8252632981232075,,,,
12,,,,,,,,,,,,,,,0.8693758464524347,
13,,,,,,,,,,,,,0.9044336367959942,,,0.9366646440367831
