topic,SBS3,SBS4,SBS5,SBS8,SBS12,SBS18,SBS22,SBS40,SBS57
0,0.8314767530079138,,,,,,,0.8858551992517106,
1,,,,,,,,,
2,,,,,,,,,0.9695177049330275
3,,0.8533488818114799,,0.8147783874847214,,0.8192922191465987,,0.8730608596784427,
4,0.8224948426049046,,0.8355261843306413,,,,,0.8780214384180955,
5,,,,,,,,,
6,0.8679716191129401,,,,,,,0.8265752104621705,
7,0.8364906060663143,,0.8206493602911094,,,,,0.943967567324135,
8,,,,,,,0.9845024698908869,,
9,,,0.8742669710228159,,0.843513039904411,,,,
10,,,,,,,,0.8384345265666667,
11,0.8228712065517608,,0.8955110319367321,,,,,0.8300253794288616,
