topic,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS8,SBS33,SBS38,SBS40,SBS43,SBS45,SBS53
0,,,,,,,,,,,0.9445892931594524,,,0.8729685092736896,0.8778587146220554
1,,,,,0.8605223050621056,,,,,,,0.8251849754044835,,,
2,,,,,,,,,,,,,,,
3,0.934269962612031,,,,,0.9164277630356877,,,,,,,,,
4,,,,,,,,,,,,0.8753235875487495,,,
5,,0.9173836496274087,,,,,,,,,,,,,
6,,,,,,,,,,0.9297853468134447,,,,,
7,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,
9,,,0.82858343605476,0.9014934014160946,,,,,0.8208365221124332,,,0.8466376060532237,,,
10,,,,,,,0.8351447014999028,0.9785777977211922,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,0.8585255002955071,,
